County	Election District	Election Precinct	Cong	Legs	Candidate Name	Partyx	Office Name	Office District	Winner	Write-In?	Election Night Votes	Election Night Votes Against
2	4	24	2	32	Michael Carney	LIB	Representative in Congress	2			27	
2	4	24	2	32	Guy Mimoun	GRN	Representative in Congress	2			6	
2	4	24	2	32	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
3	25	5	2	46	Fake Judge Name	BOT	Fake Retention Office	2			71	
3	25	5	2	46	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		454	
3	25	5	2	46	Michael Carney	LIB	Representative in Congress	2			17	
3	25	5	2	46	Guy Mimoun	GRN	Representative in Congress	2			1	
3	25	5	2	46	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
3	25	6	2	46	Fake Judge Name	BOT	Fake Retention Office	2			7	
3	25	6	2	46	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		259	
3	25	6	2	46	Michael Carney	LIB	Representative in Congress	2			7	
3	25	6	2	46	Guy Mimoun	GRN	Representative in Congress	2			1	
3	25	6	2	46	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
3	25	7	2	46	Fake Judge Name	BOT	Fake Retention Office	2			9	
3	25	7	2	46	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		127	
3	25	7	2	46	Michael Carney	LIB	Representative in Congress	2			6	
3	25	7	2	46	Guy Mimoun	GRN	Representative in Congress	2			1	
3	25	7	2	46	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
3	25	8	2	46	Fake Judge Name	BOT	Fake Retention Office	2			14	
3	25	8	2	46	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		357	
3	25	8	2	46	Michael Carney	LIB	Representative in Congress	2			12	
3	25	8	2	46	Guy Mimoun	GRN	Representative in Congress	2			9	
3	25	8	2	46	Other Write-Ins	BOT	Representative in Congress	2		Y	1	
3	25	9	2	46	Fake Judge Name	BOT	Fake Retention Office	2			5	
3	25	9	2	46	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		226	
3	25	9	2	46	Michael Carney	LIB	Representative in Congress	2			7	
3	25	9	2	46	Guy Mimoun	GRN	Representative in Congress	2			0	
3	25	9	2	46	Other Write-Ins	BOT	Representative in Congress	2		Y	2	
3	25	10	2	46	Fake Judge Name	BOT	Fake Retention Office	2			6	
3	25	10	2	46	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		276	
3	25	10	2	46	Michael Carney	LIB	Representative in Congress	2			3	
3	25	10	2	46	Guy Mimoun	GRN	Representative in Congress	2			1	
3	25	10	2	46	Other Write-Ins	BOT	Representative in Congress	2		Y	1	
3	25	11	2	46	Fake Judge Name	BOT	Fake Retention Office	2			67	
3	25	11	2	46	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		105	
3	25	11	2	46	Michael Carney	LIB	Representative in Congress	2			3	
3	25	11	2	46	Guy Mimoun	GRN	Representative in Congress	2			3	
3	25	11	2	46	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
3	25	12	2	46	Fake Judge Name	BOT	Fake Retention Office	2			91	
3	25	12	2	46	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		204	
3	25	12	2	46	Michael Carney	LIB	Representative in Congress	2			9	
3	25	12	2	46	Guy Mimoun	GRN	Representative in Congress	2			8	
3	25	12	2	46	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
3	25	13	2	46	Fake Judge Name	BOT	Fake Retention Office	2			47	
3	25	13	2	46	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		105	
3	25	13	2	46	Michael Carney	LIB	Representative in Congress	2			3	
3	25	13	2	46	Guy Mimoun	GRN	Representative in Congress	2			3	
3	25	13	2	46	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
3	25	14	2	46	Fake Judge Name	BOT	Fake Retention Office	2			35	
3	25	14	2	46	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		192	
3	25	14	2	46	Michael Carney	LIB	Representative in Congress	2			9	
3	25	14	2	46	Guy Mimoun	GRN	Representative in Congress	2			3	
3	25	14	2	46	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
3	25	15	2	46	Fake Judge Name	BOT	Fake Retention Office	2			38	
3	25	15	2	46	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		177	
3	25	15	2	46	Michael Carney	LIB	Representative in Congress	2			5	
3	25	15	2	46	Guy Mimoun	GRN	Representative in Congress	2			4	
3	25	15	2	46	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
3	25	16	2	46	Fake Judge Name	BOT	Fake Retention Office	2			95	
3	25	16	2	46	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		225	
3	25	16	2	46	Michael Carney	LIB	Representative in Congress	2			9	
3	25	16	2	46	Guy Mimoun	GRN	Representative in Congress	2			7	
3	25	16	2	46	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
3	26	1	2	46	Fake Judge Name	BOT	Fake Retention Office	2			34	
3	26	1	2	46	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		49	
3	26	1	2	46	Michael Carney	LIB	Representative in Congress	2			4	
3	26	1	2	46	Guy Mimoun	GRN	Representative in Congress	2			2	
3	26	1	2	46	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
3	26	2	2	46	Fake Judge Name	BOT	Fake Retention Office	2			64	
3	26	2	2	46	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		246	
3	26	2	2	46	Michael Carney	LIB	Representative in Congress	2			12	
3	26	2	2	46	Guy Mimoun	GRN	Representative in Congress	2			5	
3	26	2	2	46	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
3	26	3	2	46	Fake Judge Name	BOT	Fake Retention Office	2			136	
3	26	3	2	46	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		205	
3	26	3	2	46	Michael Carney	LIB	Representative in Congress	2			10	
3	26	3	2	46	Guy Mimoun	GRN	Representative in Congress	2			3	
3	26	3	2	46	Other Write-Ins	BOT	Representative in Congress	2		Y	2	
3	26	4	2	46	Fake Judge Name	BOT	Fake Retention Office	2			67	
3	26	4	2	46	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		160	
3	26	4	2	46	Michael Carney	LIB	Representative in Congress	2			7	
3	26	4	2	46	Guy Mimoun	GRN	Representative in Congress	2			4	
3	26	4	2	46	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
3	26	15	2	45	Fake Judge Name	BOT	Fake Retention Office	2			19	
3	26	15	2	45	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		355	
3	26	15	2	45	Michael Carney	LIB	Representative in Congress	2			8	
3	26	15	2	45	Guy Mimoun	GRN	Representative in Congress	2			2	
3	26	15	2	45	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
3	26	16	2	45	Fake Judge Name	BOT	Fake Retention Office	2			8	
3	26	16	2	45	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		313	
3	26	16	2	45	Michael Carney	LIB	Representative in Congress	2			8	
3	26	16	2	45	Guy Mimoun	GRN	Representative in Congress	2			5	
3	26	16	2	45	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
3	26	22	2	45	Fake Judge Name	BOT	Fake Retention Office	2			8	
3	26	22	2	45	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		197	
3	26	22	2	45	Michael Carney	LIB	Representative in Congress	2			7	
3	26	22	2	45	Guy Mimoun	GRN	Representative in Congress	2			2	
3	26	22	2	45	Other Write-Ins	BOT	Representative in Congress	2		Y	1	
3	26	23	2	45	Fake Judge Name	BOT	Fake Retention Office	2			10	
3	26	23	2	45	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		279	
3	26	23	2	45	Michael Carney	LIB	Representative in Congress	2			4	
3	26	23	2	45	Guy Mimoun	GRN	Representative in Congress	2			5	
3	26	23	2	45	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
3	26	24	2	45	Fake Judge Name	BOT	Fake Retention Office	2			14	
3	26	24	2	45	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		443	
3	26	24	2	45	Michael Carney	LIB	Representative in Congress	2			12	
3	26	24	2	45	Guy Mimoun	GRN	Representative in Congress	2			10	
3	26	24	2	45	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
3	26	25	2	45	Fake Judge Name	BOT	Fake Retention Office	2			13	
3	26	25	2	45	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		323	
3	26	25	2	45	Michael Carney	LIB	Representative in Congress	2			10	
3	26	25	2	45	Guy Mimoun	GRN	Representative in Congress	2			9	
3	26	25	2	45	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
3	26	26	2	45	Fake Judge Name	BOT	Fake Retention Office	2			39	
3	26	26	2	45	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		407	
3	26	26	2	45	Michael Carney	LIB	Representative in Congress	2			12	
3	26	26	2	45	Guy Mimoun	GRN	Representative in Congress	2			8	
3	26	26	2	45	Other Write-Ins	BOT	Representative in Congress	2		Y	1	
3	26	27	2	45	Fake Judge Name	BOT	Fake Retention Office	2			39	
3	26	27	2	45	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		306	
3	26	27	2	45	Michael Carney	LIB	Representative in Congress	2			5	
3	26	27	2	45	Guy Mimoun	GRN	Representative in Congress	2			5	
3	26	27	2	45	Other Write-Ins	BOT	Representative in Congress	2		Y	1	
3	26	28	2	45	Fake Judge Name	BOT	Fake Retention Office	2			8	
3	26	28	2	45	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		231	
3	26	28	2	45	Michael Carney	LIB	Representative in Congress	2			2	
3	26	28	2	45	Guy Mimoun	GRN	Representative in Congress	2			2	
3	26	28	2	45	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
3	26	29	2	45	Fake Judge Name	BOT	Fake Retention Office	2			37	
3	26	29	2	45	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		755	
3	26	29	2	45	Michael Carney	LIB	Representative in Congress	2			18	
3	26	29	2	45	Guy Mimoun	GRN	Representative in Congress	2			13	
3	26	29	2	45	Other Write-Ins	BOT	Representative in Congress	2		Y	2	
3	26	30	2	45	Fake Judge Name	BOT	Fake Retention Office	2			34	
3	26	30	2	45	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		273	
3	26	30	2	45	Michael Carney	LIB	Representative in Congress	2			8	
3	26	30	2	45	Guy Mimoun	GRN	Representative in Congress	2			4	
3	26	30	2	45	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
3	26	31	2	45	Fake Judge Name	BOT	Fake Retention Office	2			51	
3	26	31	2	45	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		184	
3	26	31	2	45	Michael Carney	LIB	Representative in Congress	2			7	
3	26	31	2	45	Guy Mimoun	GRN	Representative in Congress	2			4	
3	26	31	2	45	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
3	26	32	2	45	Fake Judge Name	BOT	Fake Retention Office	2			23	
3	26	32	2	45	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		461	
3	26	32	2	45	Michael Carney	LIB	Representative in Congress	2			15	
3	26	32	2	45	Guy Mimoun	GRN	Representative in Congress	2			8	
3	26	32	2	45	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
3	26	33	2	45	Fake Judge Name	BOT	Fake Retention Office	2			15	
3	26	33	2	45	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		408	
3	26	33	2	45	Michael Carney	LIB	Representative in Congress	2			8	
3	26	33	2	45	Guy Mimoun	GRN	Representative in Congress	2			4	
3	26	33	2	45	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
3	27	1	2	45	Fake Judge Name	BOT	Fake Retention Office	2			66	
3	27	1	2	45	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		548	
3	27	1	2	45	Michael Carney	LIB	Representative in Congress	2			11	
3	27	1	2	45	Guy Mimoun	GRN	Representative in Congress	2			21	
3	27	1	2	45	Other Write-Ins	BOT	Representative in Congress	2		Y	2	
3	27	6	2	45	Fake Judge Name	BOT	Fake Retention Office	2			77	
3	27	6	2	45	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		752	
3	27	6	2	45	Michael Carney	LIB	Representative in Congress	2			20	
3	27	6	2	45	Guy Mimoun	GRN	Representative in Congress	2			28	
3	27	6	2	45	Other Write-Ins	BOT	Representative in Congress	2		Y	2	
3	27	7	2	45	Fake Judge Name	BOT	Fake Retention Office	2			28	
3	27	7	2	45	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		299	
3	27	7	2	45	Michael Carney	LIB	Representative in Congress	2			4	
3	27	7	2	45	Guy Mimoun	GRN	Representative in Congress	2			5	
3	27	7	2	45	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
3	27	8	2	45	Fake Judge Name	BOT	Fake Retention Office	2			123	
3	27	8	2	45	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		659	
3	27	8	2	45	Michael Carney	LIB	Representative in Congress	2			26	
3	27	8	2	45	Guy Mimoun	GRN	Representative in Congress	2			19	
3	27	8	2	45	Other Write-Ins	BOT	Representative in Congress	2		Y	1	
4	2	7	2	10	Fake Judge Name	BOT	Fake Retention Office	2			24	
4	2	7	2	10	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		729	
4	2	7	2	10	Michael Carney	LIB	Representative in Congress	2			21	
4	2	7	2	10	Guy Mimoun	GRN	Representative in Congress	2			5	
4	2	7	2	10	Other Write-Ins	BOT	Representative in Congress	2		Y	1	
4	2	8	2	11	Fake Judge Name	BOT	Fake Retention Office	2			60	
4	2	8	2	11	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		873	
4	2	8	2	11	Michael Carney	LIB	Representative in Congress	2			20	
4	2	8	2	11	Guy Mimoun	GRN	Representative in Congress	2			10	
4	2	8	2	11	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
4	2	10	2	10	Fake Judge Name	BOT	Fake Retention Office	2			59	
4	2	10	2	10	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		1103	
4	2	10	2	10	Michael Carney	LIB	Representative in Congress	2			18	
4	2	10	2	10	Guy Mimoun	GRN	Representative in Congress	2			14	
4	2	10	2	10	Other Write-Ins	BOT	Representative in Congress	2		Y	1	
4	2	12	2	10	Fake Judge Name	BOT	Fake Retention Office	2			94	
4	2	12	2	10	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		1017	
4	2	12	2	10	Michael Carney	LIB	Representative in Congress	2			15	
4	2	12	2	10	Guy Mimoun	GRN	Representative in Congress	2			17	
4	2	12	2	10	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
4	2	13	2	10	Fake Judge Name	BOT	Fake Retention Office	2			82	
4	2	13	2	10	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		925	
4	2	13	2	10	Michael Carney	LIB	Representative in Congress	2			17	
4	2	13	2	10	Guy Mimoun	GRN	Representative in Congress	2			12	
4	2	13	2	10	Other Write-Ins	BOT	Representative in Congress	2		Y	2	
4	2	14	2	10	Fake Judge Name	BOT	Fake Retention Office	2			39	
4	2	14	2	10	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		1049	
4	2	14	2	10	Michael Carney	LIB	Representative in Congress	2			16	
4	2	14	2	10	Guy Mimoun	GRN	Representative in Congress	2			7	
4	2	14	2	10	Other Write-Ins	BOT	Representative in Congress	2		Y	2	
4	2	15	2	11	Fake Judge Name	BOT	Fake Retention Office	2			99	
4	2	15	2	11	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		1203	
4	2	15	2	11	Michael Carney	LIB	Representative in Congress	2			21	
4	2	15	2	11	Guy Mimoun	GRN	Representative in Congress	2			13	
4	2	15	2	11	Other Write-Ins	BOT	Representative in Congress	2		Y	1	
4	2	16	2	10	Fake Judge Name	BOT	Fake Retention Office	2			40	
4	2	16	2	10	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		449	
4	2	16	2	10	Michael Carney	LIB	Representative in Congress	2			8	
4	2	16	2	10	Guy Mimoun	GRN	Representative in Congress	2			4	
4	2	16	2	10	Other Write-Ins	BOT	Representative in Congress	2		Y	1	
4	2	17	2	10	Fake Judge Name	BOT	Fake Retention Office	2			48	
4	2	17	2	10	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		859	
4	2	17	2	10	Michael Carney	LIB	Representative in Congress	2			16	
4	2	17	2	10	Guy Mimoun	GRN	Representative in Congress	2			11	
4	2	17	2	10	Other Write-Ins	BOT	Representative in Congress	2		Y	1	
4	2	20	2	10	Fake Judge Name	BOT	Fake Retention Office	2			46	
4	2	20	2	10	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		267	
4	2	20	2	10	Michael Carney	LIB	Representative in Congress	2			16	
4	2	20	2	10	Guy Mimoun	GRN	Representative in Congress	2			8	
4	2	20	2	10	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
4	2	24	2	10	Fake Judge Name	BOT	Fake Retention Office	2			53	
4	2	24	2	10	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		813	
4	2	24	2	10	Michael Carney	LIB	Representative in Congress	2			14	
4	2	24	2	10	Guy Mimoun	GRN	Representative in Congress	2			11	
4	2	24	2	10	Other Write-Ins	BOT	Representative in Congress	2		Y	1	
4	2	25	2	11	Fake Judge Name	BOT	Fake Retention Office	2			69	
4	2	25	2	11	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		334	
4	2	25	2	11	Michael Carney	LIB	Representative in Congress	2			1	
4	2	25	2	11	Guy Mimoun	GRN	Representative in Congress	2			0	
4	2	25	2	11	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
4	2	26	2	10	Fake Judge Name	BOT	Fake Retention Office	2			107	
4	2	26	2	10	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		598	
4	2	26	2	10	Michael Carney	LIB	Representative in Congress	2			14	
4	2	26	2	10	Guy Mimoun	GRN	Representative in Congress	2			13	
4	2	26	2	10	Other Write-Ins	BOT	Representative in Congress	2		Y	0	
4	2	27	2	10	Fake Judge Name	BOT	Fake Retention Office	2			62	
4	2	27	2	10	C.A. Dutch Ruppersberger	DEM	Representative in Congress	2	Y		695	
4	2	27	2	10	Michael Carney	LIB	Representative in Congress	2			8	
4	2	27	2	10	Guy Mimoun	GRN	Representative in Congress	2			8	
