Table	Name	ExternalIdentifierType	ExternalIdentifierValue
ReportingUnit	North Carolina;Union County	fips	3717900000
ReportingUnit	North Carolina;Vance County	fips	3718100000
ReportingUnit	North Carolina;Wake County	fips	3718300000
ReportingUnit	North Carolina;Warren County	fips	3718500000
ReportingUnit	North Carolina;Washington County	fips	3718700000
ReportingUnit	North Carolina;Watauga County	fips	3718900000
ReportingUnit	North Carolina;Wayne County	fips	3719100000
ReportingUnit	North Carolina;Wilkes County	fips	3719300000
ReportingUnit	North Carolina;Wilson County	fips	3719500000
ReportingUnit	North Carolina;Yadkin County	fips	3719700000
ReportingUnit	North Carolina;Yancey County	fips	3719900000
