Contest	Selection	CountItemType	Count
North Carolina;General Assembly House of Representatives District 11 Primary;North Carolina Republican Party	Shawn Michael Hamilton	early	46
North Carolina;General Assembly House of Representatives District 11 Primary;North Carolina Republican Party	Shawn Michael Hamilton	election-day	395
North Carolina;General Assembly House of Representatives District 11 Primary;North Carolina Republican Party	Shawn Michael Hamilton	provisional	5
North Carolina;General Assembly House of Representatives District 11 Primary;North Carolina Republican Party	Shawn Michael Hamilton	total	456
North Carolina;General Assembly House of Representatives District 11 Primary;North Carolina Republican Party	Tyler Brooks	absentee-mail	30
North Carolina;General Assembly House of Representatives District 11 Primary;North Carolina Republican Party	Tyler Brooks	early	154
North Carolina;General Assembly House of Representatives District 11 Primary;North Carolina Republican Party	Tyler Brooks	election-day	1482
North Carolina;General Assembly House of Representatives District 11 Primary;North Carolina Republican Party	Tyler Brooks	provisional	6
North Carolina;General Assembly House of Representatives District 11 Primary;North Carolina Republican Party	Tyler Brooks	total	1672
North Carolina;General Assembly House of Representatives District 110 Primary;North Carolina Republican Party	Charlene High	absentee-mail	6
North Carolina;General Assembly House of Representatives District 110 Primary;North Carolina Republican Party	Charlene High	early	381
North Carolina;General Assembly House of Representatives District 110 Primary;North Carolina Republican Party	Charlene High	election-day	876
North Carolina;General Assembly House of Representatives District 110 Primary;North Carolina Republican Party	Charlene High	provisional	2
North Carolina;General Assembly House of Representatives District 110 Primary;North Carolina Republican Party	Charlene High	total	1265
North Carolina;General Assembly House of Representatives District 110 Primary;North Carolina Republican Party	Kelly E. Hastings	absentee-mail	20
North Carolina;General Assembly House of Representatives District 110 Primary;North Carolina Republican Party	Kelly E. Hastings	early	1326
North Carolina;General Assembly House of Representatives District 110 Primary;North Carolina Republican Party	Kelly E. Hastings	election-day	2720
North Carolina;General Assembly House of Representatives District 110 Primary;North Carolina Republican Party	Kelly E. Hastings	provisional	10
North Carolina;General Assembly House of Representatives District 110 Primary;North Carolina Republican Party	Kelly E. Hastings	total	4076
North Carolina;General Assembly House of Representatives District 115 Primary;North Carolina Republican Party	Amy Evans	absentee-mail	26
North Carolina;General Assembly House of Representatives District 115 Primary;North Carolina Republican Party	Amy Evans	early	408
North Carolina;General Assembly House of Representatives District 115 Primary;North Carolina Republican Party	Amy Evans	election-day	1710
North Carolina;General Assembly House of Representatives District 115 Primary;North Carolina Republican Party	Amy Evans	provisional	6
North Carolina;General Assembly House of Representatives District 115 Primary;North Carolina Republican Party	Amy Evans	total	2150
North Carolina;General Assembly House of Representatives District 115 Primary;North Carolina Republican Party	Nathan West	absentee-mail	8
North Carolina;General Assembly House of Representatives District 115 Primary;North Carolina Republican Party	Nathan West	early	185
North Carolina;General Assembly House of Representatives District 115 Primary;North Carolina Republican Party	Nathan West	election-day	793
North Carolina;General Assembly House of Representatives District 115 Primary;North Carolina Republican Party	Nathan West	provisional	5
North Carolina;General Assembly House of Representatives District 115 Primary;North Carolina Republican Party	Nathan West	total	991
North Carolina;General Assembly House of Representatives District 13 Primary;North Carolina Republican Party	Blake Beadle	absentee-mail	8
North Carolina;General Assembly House of Representatives District 13 Primary;North Carolina Republican Party	Blake Beadle	early	486
North Carolina;General Assembly House of Representatives District 13 Primary;North Carolina Republican Party	Blake Beadle	election-day	1360
North Carolina;General Assembly House of Representatives District 13 Primary;North Carolina Republican Party	Blake Beadle	provisional	9
North Carolina;General Assembly House of Representatives District 13 Primary;North Carolina Republican Party	Blake Beadle	total	1863
North Carolina;General Assembly House of Representatives District 13 Primary;North Carolina Republican Party	Patricia (Pat) McElraft	absentee-mail	82
North Carolina;General Assembly House of Representatives District 13 Primary;North Carolina Republican Party	Patricia (Pat) McElraft	early	3596
North Carolina;General Assembly House of Representatives District 13 Primary;North Carolina Republican Party	Patricia (Pat) McElraft	election-day	7778
North Carolina;General Assembly House of Representatives District 13 Primary;North Carolina Republican Party	Patricia (Pat) McElraft	provisional	36
North Carolina;General Assembly House of Representatives District 13 Primary;North Carolina Republican Party	Patricia (Pat) McElraft	total	11492
North Carolina;General Assembly House of Representatives District 14 Primary;North Carolina Republican Party	George G. Cleveland	absentee-mail	30
North Carolina;General Assembly House of Representatives District 14 Primary;North Carolina Republican Party	George G. Cleveland	early	790
North Carolina;General Assembly House of Representatives District 14 Primary;North Carolina Republican Party	George G. Cleveland	election-day	3398
North Carolina;General Assembly House of Representatives District 14 Primary;North Carolina Republican Party	George G. Cleveland	provisional	26
North Carolina;General Assembly House of Representatives District 14 Primary;North Carolina Republican Party	George G. Cleveland	total	4244
North Carolina;General Assembly House of Representatives District 14 Primary;North Carolina Republican Party	Joseph R. McLaughlin	absentee-mail	5
North Carolina;General Assembly House of Representatives District 14 Primary;North Carolina Republican Party	Joseph R. McLaughlin	early	424
North Carolina;General Assembly House of Representatives District 14 Primary;North Carolina Republican Party	Joseph R. McLaughlin	election-day	1472
North Carolina;General Assembly House of Representatives District 14 Primary;North Carolina Republican Party	Joseph R. McLaughlin	provisional	16
North Carolina;General Assembly House of Representatives District 14 Primary;North Carolina Republican Party	Joseph R. McLaughlin	total	1917
North Carolina;General Assembly House of Representatives District 17 Primary;North Carolina Republican Party	Frank Iler	absentee-mail	26
North Carolina;General Assembly House of Representatives District 17 Primary;North Carolina Republican Party	Frank Iler	early	2166
North Carolina;General Assembly House of Representatives District 17 Primary;North Carolina Republican Party	Frank Iler	election-day	4118
North Carolina;General Assembly House of Representatives District 17 Primary;North Carolina Republican Party	Frank Iler	provisional	20
North Carolina;General Assembly House of Representatives District 17 Primary;North Carolina Republican Party	Frank Iler	total	6330
North Carolina;General Assembly House of Representatives District 17 Primary;North Carolina Republican Party	Patricia (Pat) Sykes	absentee-mail	16
North Carolina;General Assembly House of Representatives District 17 Primary;North Carolina Republican Party	Patricia (Pat) Sykes	early	768
North Carolina;General Assembly House of Representatives District 17 Primary;North Carolina Republican Party	Patricia (Pat) Sykes	election-day	1220
North Carolina;General Assembly House of Representatives District 17 Primary;North Carolina Republican Party	Patricia (Pat) Sykes	provisional	11
North Carolina;General Assembly House of Representatives District 17 Primary;North Carolina Republican Party	Patricia (Pat) Sykes	total	2015
North Carolina;General Assembly House of Representatives District 19 Primary;North Carolina Republican Party	Hunter Ford	absentee-mail	5
North Carolina;General Assembly House of Representatives District 19 Primary;North Carolina Republican Party	Hunter Ford	early	156
North Carolina;General Assembly House of Representatives District 19 Primary;North Carolina Republican Party	Hunter Ford	election-day	655
North Carolina;General Assembly House of Representatives District 19 Primary;North Carolina Republican Party	Hunter Ford	provisional	2
North Carolina;General Assembly House of Representatives District 19 Primary;North Carolina Republican Party	Hunter Ford	total	818
North Carolina;General Assembly House of Representatives District 19 Primary;North Carolina Republican Party	Ted Davis, Jr.	absentee-mail	26
North Carolina;General Assembly House of Representatives District 19 Primary;North Carolina Republican Party	Ted Davis, Jr.	early	876
North Carolina;General Assembly House of Representatives District 19 Primary;North Carolina Republican Party	Ted Davis, Jr.	election-day	2504
North Carolina;General Assembly House of Representatives District 19 Primary;North Carolina Republican Party	Ted Davis, Jr.	provisional	4
North Carolina;General Assembly House of Representatives District 19 Primary;North Carolina Republican Party	Ted Davis, Jr.	total	3410
North Carolina;General Assembly House of Representatives District 2 Primary;North Carolina Democratic Party	Darryl D. Moss	absentee-mail	8
North Carolina;General Assembly House of Representatives District 2 Primary;North Carolina Democratic Party	Darryl D. Moss	early	2756
North Carolina;General Assembly House of Representatives District 2 Primary;North Carolina Democratic Party	Darryl D. Moss	election-day	4540
North Carolina;General Assembly House of Representatives District 2 Primary;North Carolina Democratic Party	Darryl D. Moss	provisional	12
North Carolina;General Assembly House of Representatives District 2 Primary;North Carolina Democratic Party	Darryl D. Moss	total	7316
North Carolina;General Assembly House of Representatives District 2 Primary;North Carolina Democratic Party	Dora P. Bullock	absentee-mail	4
North Carolina;General Assembly House of Representatives District 2 Primary;North Carolina Democratic Party	Dora P. Bullock	early	518
North Carolina;General Assembly House of Representatives District 2 Primary;North Carolina Democratic Party	Dora P. Bullock	election-day	987
North Carolina;General Assembly House of Representatives District 2 Primary;North Carolina Democratic Party	Dora P. Bullock	provisional	7
North Carolina;General Assembly House of Representatives District 2 Primary;North Carolina Democratic Party	Dora P. Bullock	total	1516
North Carolina;General Assembly House of Representatives District 2 Primary;North Carolina Republican Party	Jim McIlroy	absentee-mail	2
North Carolina;General Assembly House of Representatives District 2 Primary;North Carolina Republican Party	Jim McIlroy	early	88
North Carolina;General Assembly House of Representatives District 2 Primary;North Carolina Republican Party	Jim McIlroy	election-day	251
North Carolina;General Assembly House of Representatives District 2 Primary;North Carolina Republican Party	Jim McIlroy	provisional	0
North Carolina;General Assembly House of Representatives District 2 Primary;North Carolina Republican Party	Jim McIlroy	total	341
North Carolina;General Assembly House of Representatives District 2 Primary;North Carolina Republican Party	Larry Yarborough	absentee-mail	18
North Carolina;General Assembly House of Representatives District 2 Primary;North Carolina Republican Party	Larry Yarborough	early	892
North Carolina;General Assembly House of Representatives District 2 Primary;North Carolina Republican Party	Larry Yarborough	election-day	2122
North Carolina;General Assembly House of Representatives District 2 Primary;North Carolina Republican Party	Larry Yarborough	provisional	6
North Carolina;General Assembly House of Representatives District 2 Primary;North Carolina Republican Party	Larry Yarborough	total	3038
North Carolina;General Assembly House of Representatives District 20 Primary;North Carolina Democratic Party	Gary K. Shipman	absentee-mail	18
North Carolina;General Assembly House of Representatives District 20 Primary;North Carolina Democratic Party	Gary K. Shipman	early	814
North Carolina;General Assembly House of Representatives District 20 Primary;North Carolina Democratic Party	Gary K. Shipman	election-day	1160
North Carolina;General Assembly House of Representatives District 20 Primary;North Carolina Democratic Party	Gary K. Shipman	provisional	7
North Carolina;General Assembly House of Representatives District 20 Primary;North Carolina Democratic Party	Gary K. Shipman	total	1999
North Carolina;General Assembly House of Representatives District 20 Primary;North Carolina Democratic Party	John Bauer	absentee-mail	7
North Carolina;General Assembly House of Representatives District 20 Primary;North Carolina Democratic Party	John Bauer	early	124
North Carolina;General Assembly House of Representatives District 20 Primary;North Carolina Democratic Party	John Bauer	election-day	194
North Carolina;General Assembly House of Representatives District 20 Primary;North Carolina Democratic Party	John Bauer	provisional	1
North Carolina;General Assembly House of Representatives District 20 Primary;North Carolina Democratic Party	John Bauer	total	326
North Carolina;General Assembly House of Representatives District 20 Primary;North Carolina Democratic Party	Leslie Cohen	absentee-mail	32
North Carolina;General Assembly House of Representatives District 20 Primary;North Carolina Democratic Party	Leslie Cohen	early	1994
North Carolina;General Assembly House of Representatives District 20 Primary;North Carolina Democratic Party	Leslie Cohen	election-day	2172
North Carolina;General Assembly House of Representatives District 20 Primary;North Carolina Democratic Party	Leslie Cohen	provisional	12
North Carolina;General Assembly House of Representatives District 20 Primary;North Carolina Democratic Party	Leslie Cohen	total	4210
North Carolina;General Assembly House of Representatives District 21 Primary;North Carolina Democratic Party	Eugene Pearsall	absentee-mail	5
North Carolina;General Assembly House of Representatives District 21 Primary;North Carolina Democratic Party	Eugene Pearsall	early	444
North Carolina;General Assembly House of Representatives District 21 Primary;North Carolina Democratic Party	Eugene Pearsall	election-day	877
North Carolina;General Assembly House of Representatives District 21 Primary;North Carolina Democratic Party	Eugene Pearsall	provisional	5
North Carolina;General Assembly House of Representatives District 21 Primary;North Carolina Democratic Party	Eugene Pearsall	total	1331
North Carolina;General Assembly House of Representatives District 21 Primary;North Carolina Democratic Party	Raymond Smith	absentee-mail	4
North Carolina;General Assembly House of Representatives District 21 Primary;North Carolina Democratic Party	Raymond Smith	early	1212
North Carolina;General Assembly House of Representatives District 21 Primary;North Carolina Democratic Party	Raymond Smith	election-day	1800
North Carolina;General Assembly House of Representatives District 21 Primary;North Carolina Democratic Party	Raymond Smith	provisional	6
North Carolina;General Assembly House of Representatives District 21 Primary;North Carolina Democratic Party	Raymond Smith	total	3022
North Carolina;General Assembly House of Representatives District 22 Primary;North Carolina Democratic Party	Lawrence A. Aycock	absentee-mail	68
North Carolina;General Assembly House of Representatives District 22 Primary;North Carolina Democratic Party	Lawrence A. Aycock	early	793
North Carolina;General Assembly House of Representatives District 22 Primary;North Carolina Democratic Party	Lawrence A. Aycock	election-day	1326
North Carolina;General Assembly House of Representatives District 22 Primary;North Carolina Democratic Party	Lawrence A. Aycock	provisional	8
North Carolina;General Assembly House of Representatives District 22 Primary;North Carolina Democratic Party	Lawrence A. Aycock	total	2195
North Carolina;General Assembly House of Representatives District 22 Primary;North Carolina Democratic Party	Martin (Tony) Denning	absentee-mail	110
North Carolina;General Assembly House of Representatives District 22 Primary;North Carolina Democratic Party	Martin (Tony) Denning	early	2106
North Carolina;General Assembly House of Representatives District 22 Primary;North Carolina Democratic Party	Martin (Tony) Denning	election-day	3494
North Carolina;General Assembly House of Representatives District 22 Primary;North Carolina Democratic Party	Martin (Tony) Denning	provisional	6
North Carolina;General Assembly House of Representatives District 22 Primary;North Carolina Democratic Party	Martin (Tony) Denning	total	5716
North Carolina;General Assembly House of Representatives District 27 Primary;North Carolina Democratic Party	Franklin D. Williams, Jr.	absentee-mail	142
North Carolina;General Assembly House of Representatives District 27 Primary;North Carolina Democratic Party	Franklin D. Williams, Jr.	early	2234
North Carolina;General Assembly House of Representatives District 27 Primary;North Carolina Democratic Party	Franklin D. Williams, Jr.	election-day	3322
North Carolina;General Assembly House of Representatives District 27 Primary;North Carolina Democratic Party	Franklin D. Williams, Jr.	provisional	18
North Carolina;General Assembly House of Representatives District 27 Primary;North Carolina Democratic Party	Franklin D. Williams, Jr.	total	5716
North Carolina;General Assembly House of Representatives District 27 Primary;North Carolina Democratic Party	Michael H. Wray	absentee-mail	118
North Carolina;General Assembly House of Representatives District 27 Primary;North Carolina Democratic Party	Michael H. Wray	early	4064
North Carolina;General Assembly House of Representatives District 27 Primary;North Carolina Democratic Party	Michael H. Wray	election-day	10420
North Carolina;General Assembly House of Representatives District 27 Primary;North Carolina Democratic Party	Michael H. Wray	provisional	36
North Carolina;General Assembly House of Representatives District 27 Primary;North Carolina Democratic Party	Michael H. Wray	total	14638
North Carolina;General Assembly House of Representatives District 3 Primary;North Carolina Democratic Party	Barbara Lee	absentee-mail	84
North Carolina;General Assembly House of Representatives District 3 Primary;North Carolina Democratic Party	Barbara Lee	early	1958
North Carolina;General Assembly House of Representatives District 3 Primary;North Carolina Democratic Party	Barbara Lee	election-day	2858
North Carolina;General Assembly House of Representatives District 3 Primary;North Carolina Democratic Party	Barbara Lee	provisional	2
North Carolina;General Assembly House of Representatives District 3 Primary;North Carolina Democratic Party	Barbara Lee	total	4902
North Carolina;General Assembly House of Representatives District 3 Primary;North Carolina Democratic Party	Charles Dudley	absentee-mail	17
North Carolina;General Assembly House of Representatives District 3 Primary;North Carolina Democratic Party	Charles Dudley	early	571
North Carolina;General Assembly House of Representatives District 3 Primary;North Carolina Democratic Party	Charles Dudley	election-day	584
North Carolina;General Assembly House of Representatives District 3 Primary;North Carolina Democratic Party	Charles Dudley	provisional	0
North Carolina;General Assembly House of Representatives District 3 Primary;North Carolina Democratic Party	Charles Dudley	total	1172
North Carolina;General Assembly House of Representatives District 3 Primary;North Carolina Republican Party	Eric Queen	absentee-mail	15
North Carolina;General Assembly House of Representatives District 3 Primary;North Carolina Republican Party	Eric Queen	early	778
North Carolina;General Assembly House of Representatives District 3 Primary;North Carolina Republican Party	Eric Queen	election-day	1406
North Carolina;General Assembly House of Representatives District 3 Primary;North Carolina Republican Party	Eric Queen	provisional	2
North Carolina;General Assembly House of Representatives District 3 Primary;North Carolina Republican Party	Eric Queen	total	2201
North Carolina;General Assembly House of Representatives District 3 Primary;North Carolina Republican Party	Michael Speciale	absentee-mail	64
North Carolina;General Assembly House of Representatives District 3 Primary;North Carolina Republican Party	Michael Speciale	early	1828
North Carolina;General Assembly House of Representatives District 3 Primary;North Carolina Republican Party	Michael Speciale	election-day	3994
North Carolina;General Assembly House of Representatives District 3 Primary;North Carolina Republican Party	Michael Speciale	provisional	8
North Carolina;General Assembly House of Representatives District 3 Primary;North Carolina Republican Party	Michael Speciale	total	5894
North Carolina;General Assembly House of Representatives District 33 Primary;North Carolina Democratic Party	Antoine Marshall	absentee-mail	10
North Carolina;General Assembly House of Representatives District 33 Primary;North Carolina Democratic Party	Antoine Marshall	early	285
North Carolina;General Assembly House of Representatives District 33 Primary;North Carolina Democratic Party	Antoine Marshall	election-day	1144
North Carolina;General Assembly House of Representatives District 33 Primary;North Carolina Democratic Party	Antoine Marshall	provisional	3
North Carolina;General Assembly House of Representatives District 33 Primary;North Carolina Democratic Party	Antoine Marshall	total	1442
North Carolina;General Assembly House of Representatives District 33 Primary;North Carolina Democratic Party	Rosa U. Gill	absentee-mail	42
North Carolina;General Assembly House of Representatives District 33 Primary;North Carolina Democratic Party	Rosa U. Gill	early	1368
North Carolina;General Assembly House of Representatives District 33 Primary;North Carolina Democratic Party	Rosa U. Gill	election-day	5582
North Carolina;General Assembly House of Representatives District 33 Primary;North Carolina Democratic Party	Rosa U. Gill	provisional	36
North Carolina;General Assembly House of Representatives District 33 Primary;North Carolina Democratic Party	Rosa U. Gill	total	7028
North Carolina;General Assembly House of Representatives District 33 Primary;North Carolina Democratic Party	Shirley E. Hicks	absentee-mail	7
North Carolina;General Assembly House of Representatives District 33 Primary;North Carolina Democratic Party	Shirley E. Hicks	early	193
North Carolina;General Assembly House of Representatives District 33 Primary;North Carolina Democratic Party	Shirley E. Hicks	election-day	674
North Carolina;General Assembly House of Representatives District 33 Primary;North Carolina Democratic Party	Shirley E. Hicks	provisional	5
North Carolina;General Assembly House of Representatives District 33 Primary;North Carolina Democratic Party	Shirley E. Hicks	total	879
North Carolina;General Assembly House of Representatives District 35 Primary;North Carolina Democratic Party	Adam B. Wright	absentee-mail	20
North Carolina;General Assembly House of Representatives District 35 Primary;North Carolina Democratic Party	Adam B. Wright	early	153
North Carolina;General Assembly House of Representatives District 35 Primary;North Carolina Democratic Party	Adam B. Wright	election-day	704
North Carolina;General Assembly House of Representatives District 35 Primary;North Carolina Democratic Party	Adam B. Wright	provisional	4
North Carolina;General Assembly House of Representatives District 35 Primary;North Carolina Democratic Party	Adam B. Wright	total	881
North Carolina;General Assembly House of Representatives District 35 Primary;North Carolina Democratic Party	Terence Everitt	absentee-mail	126
North Carolina;General Assembly House of Representatives District 35 Primary;North Carolina Democratic Party	Terence Everitt	early	1550
North Carolina;General Assembly House of Representatives District 35 Primary;North Carolina Democratic Party	Terence Everitt	election-day	6154
North Carolina;General Assembly House of Representatives District 35 Primary;North Carolina Democratic Party	Terence Everitt	provisional	22
North Carolina;General Assembly House of Representatives District 35 Primary;North Carolina Democratic Party	Terence Everitt	total	7852
North Carolina;General Assembly House of Representatives District 35 Primary;North Carolina Republican Party	Chris Malone	absentee-mail	78
North Carolina;General Assembly House of Representatives District 35 Primary;North Carolina Republican Party	Chris Malone	early	382
North Carolina;General Assembly House of Representatives District 35 Primary;North Carolina Republican Party	Chris Malone	election-day	2832
North Carolina;General Assembly House of Representatives District 35 Primary;North Carolina Republican Party	Chris Malone	provisional	10
North Carolina;General Assembly House of Representatives District 35 Primary;North Carolina Republican Party	Chris Malone	total	3302
