Name	ElectionDistrict	VotesAllowed	NumberElected	NumberRunoff	IsPartisan
Florida;General Assembly Senate District 25	Florida;General Assembly Senate District 25	1	1	0	True
Florida;General Assembly Senate District 26	Florida;General Assembly Senate District 26	1	1	0	True
Florida;General Assembly Senate District 27	Florida;General Assembly Senate District 27	1	1	0	True
Florida;General Assembly Senate District 28	Florida;General Assembly Senate District 28	1	1	0	True
Florida;General Assembly Senate District 29	Florida;General Assembly Senate District 29	1	1	0	True
Florida;General Assembly Senate District 30	Florida;General Assembly Senate District 30	1	1	0	True
Florida;General Assembly Senate District 31	Florida;General Assembly Senate District 31	1	1	0	True
Florida;General Assembly Senate District 32	Florida;General Assembly Senate District 32	1	1	0	True
Florida;General Assembly Senate District 33	Florida;General Assembly Senate District 33	1	1	0	True
Florida;General Assembly Senate District 34	Florida;General Assembly Senate District 34	1	1	0	True
Florida;General Assembly Senate District 35	Florida;General Assembly Senate District 35	1	1	0	True
Florida;General Assembly Senate District 36	Florida;General Assembly Senate District 36	1	1	0	True
Florida;General Assembly Senate District 37	Florida;General Assembly Senate District 37	1	1	0	True
Florida;General Assembly Senate District 38	Florida;General Assembly Senate District 38	1	1	0	True
Florida;General Assembly Senate District 39	Florida;General Assembly Senate District 39	1	1	0	True
Florida;General Assembly Senate District 40	Florida;General Assembly Senate District 40	1	1	0	True
Florida;US Congress House of Representatives District 1	Florida;US Congress House of Representatives District 1	1	1	0	True
Florida;US Congress House of Representatives District 2	Florida;US Congress House of Representatives District 2	1	1	0	True
Florida;US Congress House of Representatives District 3	Florida;US Congress House of Representatives District 3	1	1	0	True
Florida;US Congress House of Representatives District 4	Florida;US Congress House of Representatives District 4	1	1	0	True
Florida;US Congress House of Representatives District 5	Florida;US Congress House of Representatives District 5	1	1	0	True
Florida;US Congress House of Representatives District 6	Florida;US Congress House of Representatives District 6	1	1	0	True
Florida;US Congress House of Representatives District 7	Florida;US Congress House of Representatives District 7	1	1	0	True
Florida;US Congress House of Representatives District 8	Florida;US Congress House of Representatives District 8	1	1	0	True
Florida;US Congress House of Representatives District 9	Florida;US Congress House of Representatives District 9	1	1	0	True
Florida;US Congress House of Representatives District 10	Florida;US Congress House of Representatives District 10	1	1	0	True
Florida;US Congress House of Representatives District 11	Florida;US Congress House of Representatives District 11	1	1	0	True
Florida;US Congress House of Representatives District 12	Florida;US Congress House of Representatives District 12	1	1	0	True
Florida;US Congress House of Representatives District 13	Florida;US Congress House of Representatives District 13	1	1	0	True
Florida;US Congress House of Representatives District 14	Florida;US Congress House of Representatives District 14	1	1	0	True
Florida;US Congress House of Representatives District 15	Florida;US Congress House of Representatives District 15	1	1	0	True
Florida;US Congress House of Representatives District 16	Florida;US Congress House of Representatives District 16	1	1	0	True
Florida;US Congress House of Representatives District 17	Florida;US Congress House of Representatives District 17	1	1	0	True
Florida;US Congress House of Representatives District 18	Florida;US Congress House of Representatives District 18	1	1	0	True
Florida;US Congress House of Representatives District 19	Florida;US Congress House of Representatives District 19	1	1	0	True
Florida;US Congress House of Representatives District 20	Florida;US Congress House of Representatives District 20	1	1	0	True
Florida;US Congress House of Representatives District 21	Florida;US Congress House of Representatives District 21	1	1	0	True
Florida;US Congress House of Representatives District 22	Florida;US Congress House of Representatives District 22	1	1	0	True
Florida;US Congress House of Representatives District 23	Florida;US Congress House of Representatives District 23	1	1	0	True
Florida;US Congress House of Representatives District 24	Florida;US Congress House of Representatives District 24	1	1	0	True
Florida;US Congress House of Representatives District 25	Florida;US Congress House of Representatives District 25	1	1	0	True
Florida;US Congress House of Representatives District 26	Florida;US Congress House of Representatives District 26	1	1	0	True
Florida;US Congress House of Representatives District 27	Florida;US Congress House of Representatives District 27	1	1	0	True
Florida;US Congress Senate	Florida;US Congress Senate	1	1	0	True
