contest_type	Contest	contest_district_type	Selection	ReportingUnit	CountItemType	Count
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Cabarrus County	early	14467
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Cabarrus County	election-day	11922
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Cabarrus County	provisional	237
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Caldwell County	absentee-mail	124
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Caldwell County	early	3962
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Caldwell County	election-day	2266
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Caldwell County	provisional	9
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Camden County	absentee-mail	24
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Camden County	early	441
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Camden County	election-day	346
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Camden County	provisional	3
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Carteret County	absentee-mail	210
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Carteret County	early	4359
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Carteret County	election-day	2946
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Carteret County	provisional	25
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Caswell County	absentee-mail	46
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Caswell County	early	1717
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Caswell County	election-day	1407
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Caswell County	provisional	9
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Catawba County	absentee-mail	347
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Catawba County	early	9539
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Catawba County	election-day	5610
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Catawba County	provisional	41
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Chatham County	absentee-mail	691
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Chatham County	early	13970
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Chatham County	election-day	4711
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Chatham County	provisional	25
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Cherokee County	absentee-mail	75
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Cherokee County	early	1201
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Cherokee County	election-day	1145
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Cherokee County	provisional	1
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Chowan County	absentee-mail	34
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Chowan County	early	1166
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Chowan County	election-day	594
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Chowan County	provisional	4
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Clay County	absentee-mail	37
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Clay County	early	730
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Clay County	election-day	424
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Clay County	provisional	5
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Cleveland County	absentee-mail	187
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Cleveland County	early	6413
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Cleveland County	election-day	4509
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Cleveland County	provisional	25
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Columbus County	absentee-mail	184
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Columbus County	early	2928
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Columbus County	election-day	2916
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Columbus County	provisional	22
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Craven County	absentee-mail	361
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Craven County	early	6913
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Craven County	election-day	4892
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Craven County	provisional	24
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Cumberland County	absentee-mail	1043
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Cumberland County	early	26061
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Cumberland County	election-day	18294
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Cumberland County	provisional	231
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Currituck County	absentee-mail	62
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Currituck County	early	724
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Currituck County	election-day	1102
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Currituck County	provisional	4
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Dare County	absentee-mail	198
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Dare County	early	3472
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Dare County	election-day	2313
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Dare County	provisional	16
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Davidson County	absentee-mail	495
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Davidson County	early	6689
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Davidson County	election-day	5755
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Davidson County	provisional	14
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Davie County	absentee-mail	177
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Davie County	early	2319
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Davie County	election-day	1559
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Davie County	provisional	17
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Duplin County	absentee-mail	52
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Duplin County	early	2653
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Duplin County	election-day	2622
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Duplin County	provisional	15
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Durham County	absentee-mail	2227
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Durham County	early	64661
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Durham County	election-day	31322
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Durham County	provisional	447
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Edgecombe County	absentee-mail	61
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Edgecombe County	early	6061
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Edgecombe County	election-day	3594
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Edgecombe County	provisional	16
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Forsyth County	absentee-mail	2343
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Forsyth County	early	42036
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Forsyth County	election-day	23509
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Forsyth County	provisional	239
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Franklin County	absentee-mail	351
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Franklin County	early	6580
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Franklin County	election-day	3139
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Franklin County	provisional	26
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Gaston County	absentee-mail	491
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Gaston County	early	12978
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Gaston County	election-day	8678
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Gaston County	provisional	96
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Gates County	absentee-mail	30
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Gates County	early	551
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Gates County	election-day	608
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Gates County	provisional	1
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Graham County	absentee-mail	21
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Graham County	early	506
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Graham County	election-day	374
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Graham County	provisional	1
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Granville County	absentee-mail	113
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Granville County	early	6199
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Granville County	election-day	2887
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Granville County	provisional	53
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Greene County	absentee-mail	144
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Greene County	early	1274
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Greene County	election-day	866
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Greene County	provisional	6
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Guilford County	absentee-mail	2916
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Guilford County	early	57151
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Guilford County	election-day	45195
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Guilford County	provisional	212
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Halifax County	absentee-mail	125
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Halifax County	early	3533
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Halifax County	election-day	5810
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Halifax County	provisional	36
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Harnett County	absentee-mail	367
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Harnett County	early	7043
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Harnett County	election-day	4331
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Harnett County	provisional	113
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Haywood County	absentee-mail	206
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Haywood County	early	6239
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Haywood County	election-day	3274
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Haywood County	provisional	0
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Henderson County	absentee-mail	864
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Henderson County	early	10065
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Henderson County	election-day	6349
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Henderson County	provisional	24
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Hertford County	absentee-mail	61
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Hertford County	early	1718
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Hertford County	election-day	2396
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Hertford County	provisional	8
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Hoke County	absentee-mail	93
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Hoke County	early	3954
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Hoke County	election-day	2077
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Hoke County	provisional	20
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Hyde County	absentee-mail	21
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Hyde County	early	218
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Hyde County	election-day	561
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Hyde County	provisional	4
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Iredell County	absentee-mail	956
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Iredell County	early	10381
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Iredell County	election-day	7002
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Iredell County	provisional	23
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Jackson County	absentee-mail	155
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Jackson County	early	4914
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Jackson County	election-day	2114
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Jackson County	provisional	44
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Johnston County	absentee-mail	566
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Johnston County	early	11887
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Johnston County	election-day	8116
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Johnston County	provisional	94
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Jones County	absentee-mail	20
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Jones County	early	573
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Jones County	election-day	754
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Jones County	provisional	12
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Lee County	absentee-mail	177
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Lee County	early	5134
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Lee County	election-day	2176
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Lee County	provisional	30
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Lenoir County	absentee-mail	149
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Lenoir County	early	5174
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Lenoir County	election-day	2746
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Lenoir County	provisional	10
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Lincoln County	absentee-mail	237
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Lincoln County	early	4645
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Lincoln County	election-day	3168
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Lincoln County	provisional	17
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Macon County	absentee-mail	179
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Macon County	early	2870
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Macon County	election-day	1635
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Macon County	provisional	6
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Madison County	absentee-mail	87
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Madison County	early	2611
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Madison County	election-day	1336
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Madison County	provisional	23
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Martin County	absentee-mail	48
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Martin County	early	1859
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Martin County	election-day	1964
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Martin County	provisional	9
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;McDowell County	absentee-mail	77
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;McDowell County	early	2250
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;McDowell County	election-day	1694
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;McDowell County	provisional	21
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Mecklenburg County	absentee-mail	7027
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Mecklenburg County	early	118956
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Mecklenburg County	election-day	84564
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Mecklenburg County	provisional	547
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Mitchell County	absentee-mail	59
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Mitchell County	early	1104
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Mitchell County	election-day	548
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Mitchell County	provisional	16
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Montgomery County	absentee-mail	73
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Montgomery County	early	1280
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Montgomery County	election-day	1616
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Montgomery County	provisional	19
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Moore County	absentee-mail	583
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Moore County	early	7109
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Moore County	election-day	5141
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Moore County	provisional	46
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Nash County	absentee-mail	295
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Nash County	early	10337
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Nash County	election-day	5961
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Nash County	provisional	142
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;New Hanover County	absentee-mail	981
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;New Hanover County	early	25519
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;New Hanover County	election-day	12711
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;New Hanover County	provisional	189
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Northampton County	absentee-mail	66
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Northampton County	early	1794
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Northampton County	election-day	2185
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Northampton County	provisional	14
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Onslow County	absentee-mail	244
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Onslow County	early	5555
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Onslow County	election-day	5137
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Onslow County	provisional	91
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Orange County	absentee-mail	1889
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Orange County	early	34624
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Orange County	election-day	13572
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Orange County	provisional	81
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Pamlico County	absentee-mail	68
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Pamlico County	early	1127
