Name	ElectionDistrict	VotesAllowed	NumberElected	NumberRunoff	IsPartisan
Michigan;General Assembly House of Representatives District 29	Michigan;General Assembly House of Representatives District 29	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 30	Michigan;General Assembly House of Representatives District 30	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 31	Michigan;General Assembly House of Representatives District 31	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 32	Michigan;General Assembly House of Representatives District 32	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 33	Michigan;General Assembly House of Representatives District 33	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 34	Michigan;General Assembly House of Representatives District 34	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 35	Michigan;General Assembly House of Representatives District 35	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 36	Michigan;General Assembly House of Representatives District 36	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 37	Michigan;General Assembly House of Representatives District 37	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 38	Michigan;General Assembly House of Representatives District 38	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 39	Michigan;General Assembly House of Representatives District 39	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 40	Michigan;General Assembly House of Representatives District 40	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 41	Michigan;General Assembly House of Representatives District 41	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 42	Michigan;General Assembly House of Representatives District 42	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 43	Michigan;General Assembly House of Representatives District 43	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 44	Michigan;General Assembly House of Representatives District 44	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 45	Michigan;General Assembly House of Representatives District 45	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 46	Michigan;General Assembly House of Representatives District 46	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 47	Michigan;General Assembly House of Representatives District 47	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 48	Michigan;General Assembly House of Representatives District 48	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 49	Michigan;General Assembly House of Representatives District 49	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 50	Michigan;General Assembly House of Representatives District 50	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 51	Michigan;General Assembly House of Representatives District 51	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 52	Michigan;General Assembly House of Representatives District 52	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 53	Michigan;General Assembly House of Representatives District 53	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 54	Michigan;General Assembly House of Representatives District 54	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 55	Michigan;General Assembly House of Representatives District 55	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 56	Michigan;General Assembly House of Representatives District 56	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 57	Michigan;General Assembly House of Representatives District 57	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 58	Michigan;General Assembly House of Representatives District 58	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 59	Michigan;General Assembly House of Representatives District 59	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 60	Michigan;General Assembly House of Representatives District 60	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 61	Michigan;General Assembly House of Representatives District 61	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 62	Michigan;General Assembly House of Representatives District 62	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 63	Michigan;General Assembly House of Representatives District 63	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 64	Michigan;General Assembly House of Representatives District 64	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 65	Michigan;General Assembly House of Representatives District 65	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 66	Michigan;General Assembly House of Representatives District 66	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 67	Michigan;General Assembly House of Representatives District 67	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 68	Michigan;General Assembly House of Representatives District 68	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 69	Michigan;General Assembly House of Representatives District 69	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 70	Michigan;General Assembly House of Representatives District 70	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 71	Michigan;General Assembly House of Representatives District 71	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 72	Michigan;General Assembly House of Representatives District 72	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 73	Michigan;General Assembly House of Representatives District 73	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 74	Michigan;General Assembly House of Representatives District 74	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 75	Michigan;General Assembly House of Representatives District 75	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 76	Michigan;General Assembly House of Representatives District 76	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 77	Michigan;General Assembly House of Representatives District 77	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 78	Michigan;General Assembly House of Representatives District 78	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 79	Michigan;General Assembly House of Representatives District 79	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 80	Michigan;General Assembly House of Representatives District 80	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 81	Michigan;General Assembly House of Representatives District 81	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 82	Michigan;General Assembly House of Representatives District 82	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 83	Michigan;General Assembly House of Representatives District 83	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 84	Michigan;General Assembly House of Representatives District 84	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 85	Michigan;General Assembly House of Representatives District 85	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 86	Michigan;General Assembly House of Representatives District 86	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 87	Michigan;General Assembly House of Representatives District 87	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 88	Michigan;General Assembly House of Representatives District 88	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 89	Michigan;General Assembly House of Representatives District 89	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 90	Michigan;General Assembly House of Representatives District 90	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 91	Michigan;General Assembly House of Representatives District 91	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 92	Michigan;General Assembly House of Representatives District 92	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 93	Michigan;General Assembly House of Representatives District 93	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 94	Michigan;General Assembly House of Representatives District 94	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 95	Michigan;General Assembly House of Representatives District 95	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 96	Michigan;General Assembly House of Representatives District 96	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 97	Michigan;General Assembly House of Representatives District 97	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 98	Michigan;General Assembly House of Representatives District 98	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 99	Michigan;General Assembly House of Representatives District 99	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 100	Michigan;General Assembly House of Representatives District 100	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 101	Michigan;General Assembly House of Representatives District 101	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 102	Michigan;General Assembly House of Representatives District 102	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 103	Michigan;General Assembly House of Representatives District 103	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 104	Michigan;General Assembly House of Representatives District 104	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 105	Michigan;General Assembly House of Representatives District 105	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 106	Michigan;General Assembly House of Representatives District 106	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 107	Michigan;General Assembly House of Representatives District 107	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 108	Michigan;General Assembly House of Representatives District 108	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 109	Michigan;General Assembly House of Representatives District 109	1	1	0	TRUE
Michigan;General Assembly House of Representatives District 110	Michigan;General Assembly House of Representatives District 110	1	1	0	TRUE
Michigan;General Assembly Senate District 1	Michigan;General Assembly Senate District 1	1	1	0	TRUE
Michigan;General Assembly Senate District 2	Michigan;General Assembly Senate District 2	1	1	0	TRUE
Michigan;General Assembly Senate District 3	Michigan;General Assembly Senate District 3	1	1	0	TRUE
Michigan;General Assembly Senate District 4	Michigan;General Assembly Senate District 4	1	1	0	TRUE
Michigan;General Assembly Senate District 5	Michigan;General Assembly Senate District 5	1	1	0	TRUE
Michigan;General Assembly Senate District 6	Michigan;General Assembly Senate District 6	1	1	0	TRUE
Michigan;General Assembly Senate District 7	Michigan;General Assembly Senate District 7	1	1	0	TRUE
Michigan;General Assembly Senate District 8	Michigan;General Assembly Senate District 8	1	1	0	TRUE
Michigan;General Assembly Senate District 9	Michigan;General Assembly Senate District 9	1	1	0	TRUE
Michigan;General Assembly Senate District 10	Michigan;General Assembly Senate District 10	1	1	0	TRUE
Michigan;General Assembly Senate District 11	Michigan;General Assembly Senate District 11	1	1	0	TRUE
Michigan;General Assembly Senate District 12	Michigan;General Assembly Senate District 12	1	1	0	TRUE
Michigan;General Assembly Senate District 13	Michigan;General Assembly Senate District 13	1	1	0	TRUE
Michigan;General Assembly Senate District 14	Michigan;General Assembly Senate District 14	1	1	0	TRUE
Michigan;General Assembly Senate District 15	Michigan;General Assembly Senate District 15	1	1	0	TRUE
Michigan;General Assembly Senate District 16	Michigan;General Assembly Senate District 16	1	1	0	TRUE
Michigan;General Assembly Senate District 17	Michigan;General Assembly Senate District 17	1	1	0	TRUE
Michigan;General Assembly Senate District 18	Michigan;General Assembly Senate District 18	1	1	0	TRUE
Michigan;General Assembly Senate District 19	Michigan;General Assembly Senate District 19	1	1	0	TRUE
Michigan;General Assembly Senate District 20	Michigan;General Assembly Senate District 20	1	1	0	TRUE
Michigan;General Assembly Senate District 21	Michigan;General Assembly Senate District 21	1	1	0	TRUE
Michigan;General Assembly Senate District 22	Michigan;General Assembly Senate District 22	1	1	0	TRUE
Michigan;General Assembly Senate District 23	Michigan;General Assembly Senate District 23	1	1	0	TRUE
Michigan;General Assembly Senate District 24	Michigan;General Assembly Senate District 24	1	1	0	TRUE
Michigan;General Assembly Senate District 25	Michigan;General Assembly Senate District 25	1	1	0	TRUE
Michigan;General Assembly Senate District 26	Michigan;General Assembly Senate District 26	1	1	0	TRUE
Michigan;General Assembly Senate District 27	Michigan;General Assembly Senate District 27	1	1	0	TRUE
Michigan;General Assembly Senate District 28	Michigan;General Assembly Senate District 28	1	1	0	TRUE
Michigan;General Assembly Senate District 29	Michigan;General Assembly Senate District 29	1	1	0	TRUE
Michigan;General Assembly Senate District 30	Michigan;General Assembly Senate District 30	1	1	0	TRUE
Michigan;General Assembly Senate District 31	Michigan;General Assembly Senate District 31	1	1	0	TRUE
Michigan;General Assembly Senate District 32	Michigan;General Assembly Senate District 32	1	1	0	TRUE
Michigan;General Assembly Senate District 33	Michigan;General Assembly Senate District 33	1	1	0	TRUE
Michigan;General Assembly Senate District 34	Michigan;General Assembly Senate District 34	1	1	0	TRUE
Michigan;General Assembly Senate District 35	Michigan;General Assembly Senate District 35	1	1	0	TRUE
Michigan;General Assembly Senate District 36	Michigan;General Assembly Senate District 36	1	1	0	TRUE
Michigan;General Assembly Senate District 37	Michigan;General Assembly Senate District 37	1	1	0	TRUE
Michigan;General Assembly Senate District 38	Michigan;General Assembly Senate District 38	1	1	0	TRUE
Michigan;US Congress House of Representatives District 1	Michigan;US Congress House of Representatives District 1	1	1	0	TRUE
Michigan;US Congress House of Representatives District 2	Michigan;US Congress House of Representatives District 2	1	1	0	TRUE
Michigan;US Congress House of Representatives District 3	Michigan;US Congress House of Representatives District 3	1	1	0	TRUE
Michigan;US Congress House of Representatives District 4	Michigan;US Congress House of Representatives District 4	1	1	0	TRUE
Michigan;US Congress House of Representatives District 5	Michigan;US Congress House of Representatives District 5	1	1	0	TRUE
Michigan;US Congress House of Representatives District 6	Michigan;US Congress House of Representatives District 6	1	1	0	TRUE
Michigan;US Congress House of Representatives District 7	Michigan;US Congress House of Representatives District 7	1	1	0	TRUE
Michigan;US Congress House of Representatives District 8	Michigan;US Congress House of Representatives District 8	1	1	0	TRUE
Michigan;US Congress House of Representatives District 9	Michigan;US Congress House of Representatives District 9	1	1	0	TRUE
Michigan;US Congress House of Representatives District 10	Michigan;US Congress House of Representatives District 10	1	1	0	TRUE
Michigan;US Congress House of Representatives District 11	Michigan;US Congress House of Representatives District 11	1	1	0	TRUE
Michigan;US Congress House of Representatives District 12	Michigan;US Congress House of Representatives District 12	1	1	0	TRUE
Michigan;US Congress House of Representatives District 13	Michigan;US Congress House of Representatives District 13	1	1	0	TRUE
Michigan;US Congress House of Representatives District 14	Michigan;US Congress House of Representatives District 14	1	1	0	TRUE
Michigan;US Congress;Senate	Michigan	1	1	0	TRUE
