Name	VotesAllowed	NumberElected	NumberRunoff	IsPartisan	Office	PrimaryParty
PA House District 160	1	1	0	True	PA House District 160	
PA House District 161	1	1	0	True	PA House District 161	
PA House District 162	1	1	0	True	PA House District 162	
PA House District 163	1	1	0	True	PA House District 163	
PA House District 164	1	1	0	True	PA House District 164	
PA House District 165	1	1	0	True	PA House District 165	
PA House District 166	1	1	0	True	PA House District 166	
PA House District 167	1	1	0	True	PA House District 167	
PA House District 168	1	1	0	True	PA House District 168	
PA House District 169	1	1	0	True	PA House District 169	
PA House District 170	1	1	0	True	PA House District 170	
PA House District 171	1	1	0	True	PA House District 171	
PA House District 172	1	1	0	True	PA House District 172	
PA House District 173	1	1	0	True	PA House District 173	
PA House District 174	1	1	0	True	PA House District 174	
PA House District 175	1	1	0	True	PA House District 175	
PA House District 176	1	1	0	True	PA House District 176	
PA House District 177	1	1	0	True	PA House District 177	
PA House District 178	1	1	0	True	PA House District 178	
PA House District 179	1	1	0	True	PA House District 179	
PA House District 180	1	1	0	True	PA House District 180	
PA House District 181	1	1	0	True	PA House District 181	
PA House District 182	1	1	0	True	PA House District 182	
PA House District 183	1	1	0	True	PA House District 183	
PA House District 184	1	1	0	True	PA House District 184	
PA House District 185	1	1	0	True	PA House District 185	
PA House District 186	1	1	0	True	PA House District 186	
PA House District 187	1	1	0	True	PA House District 187	
PA House District 188	1	1	0	True	PA House District 188	
PA House District 189	1	1	0	True	PA House District 189	
PA House District 190	1	1	0	True	PA House District 190	
PA House District 191	1	1	0	True	PA House District 191	
PA House District 192	1	1	0	True	PA House District 192	
PA House District 193	1	1	0	True	PA House District 193	
PA House District 194	1	1	0	True	PA House District 194	
PA House District 195	1	1	0	True	PA House District 195	
PA House District 196	1	1	0	True	PA House District 196	
PA House District 197	1	1	0	True	PA House District 197	
PA House District 198	1	1	0	True	PA House District 198	
PA House District 199	1	1	0	True	PA House District 199	
PA House District 200	1	1	0	True	PA House District 200	
PA House District 201	1	1	0	True	PA House District 201	
PA House District 202	1	1	0	True	PA House District 202	
PA House District 203	1	1	0	True	PA House District 203	
PA Senate District 1	1	1	0	True	PA Senate District 1	
PA Senate District 2	1	1	0	True	PA Senate District 2	
PA Senate District 3	1	1	0	True	PA Senate District 3	
PA Senate District 4	1	1	0	True	PA Senate District 4	
PA Senate District 5	1	1	0	True	PA Senate District 5	
PA Senate District 6	1	1	0	True	PA Senate District 6	
PA Senate District 7	1	1	0	True	PA Senate District 7	
PA Senate District 8	1	1	0	True	PA Senate District 8	
PA Senate District 9	1	1	0	True	PA Senate District 9	
PA Senate District 10	1	1	0	True	PA Senate District 10	
PA Senate District 11	1	1	0	True	PA Senate District 11	
PA Senate District 12	1	1	0	True	PA Senate District 12	
PA Senate District 13	1	1	0	True	PA Senate District 13	
PA Senate District 14	1	1	0	True	PA Senate District 14	
PA Senate District 15	1	1	0	True	PA Senate District 15	
PA Senate District 16	1	1	0	True	PA Senate District 16	
PA Senate District 17	1	1	0	True	PA Senate District 17	
PA Senate District 18	1	1	0	True	PA Senate District 18	
PA Senate District 19	1	1	0	True	PA Senate District 19	
PA Senate District 20	1	1	0	True	PA Senate District 20	
PA Senate District 21	1	1	0	True	PA Senate District 21	
PA Senate District 22	1	1	0	True	PA Senate District 22	
PA Senate District 23	1	1	0	True	PA Senate District 23	
PA Senate District 24	1	1	0	True	PA Senate District 24	
PA Senate District 25	1	1	0	True	PA Senate District 25	
US Senate PA	1	1	0	True	US Senate PA	
PA Governor (Democratic Party Primary)	1	1	0	True	PA Governor	Democratic Party
US House PA District 1 (Democratic Party Primary)	1	1	0	True	US House PA District 1	Democratic Party
US House PA District 2 (Democratic Party Primary)	1	1	0	True	US House PA District 2	Democratic Party
US House PA District 3 (Democratic Party Primary)	1	1	0	True	US House PA District 3	Democratic Party
US House PA District 4 (Democratic Party Primary)	1	1	0	True	US House PA District 4	Democratic Party
US House PA District 5 (Democratic Party Primary)	1	1	0	True	US House PA District 5	Democratic Party
US House PA District 6 (Democratic Party Primary)	1	1	0	True	US House PA District 6	Democratic Party
US House PA District 7 (Democratic Party Primary)	1	1	0	True	US House PA District 7	Democratic Party
US House PA District 8 (Democratic Party Primary)	1	1	0	True	US House PA District 8	Democratic Party
US House PA District 9 (Democratic Party Primary)	1	1	0	True	US House PA District 9	Democratic Party
US House PA District 10 (Democratic Party Primary)	1	1	0	True	US House PA District 10	Democratic Party
US House PA District 11 (Democratic Party Primary)	1	1	0	True	US House PA District 11	Democratic Party
US House PA District 12 (Democratic Party Primary)	1	1	0	True	US House PA District 12	Democratic Party
US House PA District 13 (Democratic Party Primary)	1	1	0	True	US House PA District 13	Democratic Party
US House PA District 14 (Democratic Party Primary)	1	1	0	True	US House PA District 14	Democratic Party
US House PA District 15 (Democratic Party Primary)	1	1	0	True	US House PA District 15	Democratic Party
US House PA District 16 (Democratic Party Primary)	1	1	0	True	US House PA District 16	Democratic Party
US House PA District 17 (Democratic Party Primary)	1	1	0	True	US House PA District 17	Democratic Party
US House PA District 18 (Democratic Party Primary)	1	1	0	True	US House PA District 18	Democratic Party
PA House District 1 (Democratic Party Primary)	1	1	0	True	PA House District 1	Democratic Party
PA House District 2 (Democratic Party Primary)	1	1	0	True	PA House District 2	Democratic Party
PA House District 3 (Democratic Party Primary)	1	1	0	True	PA House District 3	Democratic Party
PA House District 4 (Democratic Party Primary)	1	1	0	True	PA House District 4	Democratic Party
PA House District 5 (Democratic Party Primary)	1	1	0	True	PA House District 5	Democratic Party
PA House District 6 (Democratic Party Primary)	1	1	0	True	PA House District 6	Democratic Party
PA House District 7 (Democratic Party Primary)	1	1	0	True	PA House District 7	Democratic Party
PA House District 8 (Democratic Party Primary)	1	1	0	True	PA House District 8	Democratic Party
PA House District 9 (Democratic Party Primary)	1	1	0	True	PA House District 9	Democratic Party
PA House District 10 (Democratic Party Primary)	1	1	0	True	PA House District 10	Democratic Party
PA House District 11 (Democratic Party Primary)	1	1	0	True	PA House District 11	Democratic Party
PA House District 12 (Democratic Party Primary)	1	1	0	True	PA House District 12	Democratic Party
PA House District 13 (Democratic Party Primary)	1	1	0	True	PA House District 13	Democratic Party
PA House District 14 (Democratic Party Primary)	1	1	0	True	PA House District 14	Democratic Party
PA House District 15 (Democratic Party Primary)	1	1	0	True	PA House District 15	Democratic Party
PA House District 16 (Democratic Party Primary)	1	1	0	True	PA House District 16	Democratic Party
PA House District 17 (Democratic Party Primary)	1	1	0	True	PA House District 17	Democratic Party
PA House District 18 (Democratic Party Primary)	1	1	0	True	PA House District 18	Democratic Party
PA House District 19 (Democratic Party Primary)	1	1	0	True	PA House District 19	Democratic Party
PA House District 20 (Democratic Party Primary)	1	1	0	True	PA House District 20	Democratic Party
PA House District 21 (Democratic Party Primary)	1	1	0	True	PA House District 21	Democratic Party
PA House District 22 (Democratic Party Primary)	1	1	0	True	PA House District 22	Democratic Party
PA House District 23 (Democratic Party Primary)	1	1	0	True	PA House District 23	Democratic Party
PA House District 24 (Democratic Party Primary)	1	1	0	True	PA House District 24	Democratic Party
PA House District 25 (Democratic Party Primary)	1	1	0	True	PA House District 25	Democratic Party
PA House District 26 (Democratic Party Primary)	1	1	0	True	PA House District 26	Democratic Party
PA House District 27 (Democratic Party Primary)	1	1	0	True	PA House District 27	Democratic Party
PA House District 28 (Democratic Party Primary)	1	1	0	True	PA House District 28	Democratic Party
PA House District 29 (Democratic Party Primary)	1	1	0	True	PA House District 29	Democratic Party
PA House District 30 (Democratic Party Primary)	1	1	0	True	PA House District 30	Democratic Party
PA House District 31 (Democratic Party Primary)	1	1	0	True	PA House District 31	Democratic Party
PA House District 32 (Democratic Party Primary)	1	1	0	True	PA House District 32	Democratic Party
PA House District 33 (Democratic Party Primary)	1	1	0	True	PA House District 33	Democratic Party
PA House District 34 (Democratic Party Primary)	1	1	0	True	PA House District 34	Democratic Party
PA House District 35 (Democratic Party Primary)	1	1	0	True	PA House District 35	Democratic Party
PA House District 36 (Democratic Party Primary)	1	1	0	True	PA House District 36	Democratic Party
PA House District 37 (Democratic Party Primary)	1	1	0	True	PA House District 37	Democratic Party
PA House District 38 (Democratic Party Primary)	1	1	0	True	PA House District 38	Democratic Party
PA House District 39 (Democratic Party Primary)	1	1	0	True	PA House District 39	Democratic Party
PA House District 40 (Democratic Party Primary)	1	1	0	True	PA House District 40	Democratic Party
PA House District 41 (Democratic Party Primary)	1	1	0	True	PA House District 41	Democratic Party
PA House District 42 (Democratic Party Primary)	1	1	0	True	PA House District 42	Democratic Party
PA House District 43 (Democratic Party Primary)	1	1	0	True	PA House District 43	Democratic Party
PA House District 44 (Democratic Party Primary)	1	1	0	True	PA House District 44	Democratic Party
PA House District 45 (Democratic Party Primary)	1	1	0	True	PA House District 45	Democratic Party
PA House District 46 (Democratic Party Primary)	1	1	0	True	PA House District 46	Democratic Party
PA House District 47 (Democratic Party Primary)	1	1	0	True	PA House District 47	Democratic Party
PA House District 48 (Democratic Party Primary)	1	1	0	True	PA House District 48	Democratic Party
PA House District 49 (Democratic Party Primary)	1	1	0	True	PA House District 49	Democratic Party
PA House District 50 (Democratic Party Primary)	1	1	0	True	PA House District 50	Democratic Party
PA House District 51 (Democratic Party Primary)	1	1	0	True	PA House District 51	Democratic Party
PA House District 52 (Democratic Party Primary)	1	1	0	True	PA House District 52	Democratic Party
PA House District 53 (Democratic Party Primary)	1	1	0	True	PA House District 53	Democratic Party
PA House District 54 (Democratic Party Primary)	1	1	0	True	PA House District 54	Democratic Party
PA House District 55 (Democratic Party Primary)	1	1	0	True	PA House District 55	Democratic Party
PA House District 56 (Democratic Party Primary)	1	1	0	True	PA House District 56	Democratic Party
PA House District 57 (Democratic Party Primary)	1	1	0	True	PA House District 57	Democratic Party
PA House District 58 (Democratic Party Primary)	1	1	0	True	PA House District 58	Democratic Party
PA House District 59 (Democratic Party Primary)	1	1	0	True	PA House District 59	Democratic Party
PA House District 60 (Democratic Party Primary)	1	1	0	True	PA House District 60	Democratic Party
PA House District 61 (Democratic Party Primary)	1	1	0	True	PA House District 61	Democratic Party
PA House District 62 (Democratic Party Primary)	1	1	0	True	PA House District 62	Democratic Party
PA House District 63 (Democratic Party Primary)	1	1	0	True	PA House District 63	Democratic Party
PA House District 64 (Democratic Party Primary)	1	1	0	True	PA House District 64	Democratic Party
PA House District 65 (Democratic Party Primary)	1	1	0	True	PA House District 65	Democratic Party
PA House District 66 (Democratic Party Primary)	1	1	0	True	PA House District 66	Democratic Party
PA House District 67 (Democratic Party Primary)	1	1	0	True	PA House District 67	Democratic Party
PA House District 68 (Democratic Party Primary)	1	1	0	True	PA House District 68	Democratic Party
PA House District 69 (Democratic Party Primary)	1	1	0	True	PA House District 69	Democratic Party
PA House District 70 (Democratic Party Primary)	1	1	0	True	PA House District 70	Democratic Party
PA House District 71 (Democratic Party Primary)	1	1	0	True	PA House District 71	Democratic Party
PA House District 72 (Democratic Party Primary)	1	1	0	True	PA House District 72	Democratic Party
PA House District 73 (Democratic Party Primary)	1	1	0	True	PA House District 73	Democratic Party
PA House District 74 (Democratic Party Primary)	1	1	0	True	PA House District 74	Democratic Party
PA House District 75 (Democratic Party Primary)	1	1	0	True	PA House District 75	Democratic Party
PA House District 76 (Democratic Party Primary)	1	1	0	True	PA House District 76	Democratic Party
PA House District 77 (Democratic Party Primary)	1	1	0	True	PA House District 77	Democratic Party
PA House District 78 (Democratic Party Primary)	1	1	0	True	PA House District 78	Democratic Party
PA House District 79 (Democratic Party Primary)	1	1	0	True	PA House District 79	Democratic Party
PA House District 80 (Democratic Party Primary)	1	1	0	True	PA House District 80	Democratic Party
PA House District 81 (Democratic Party Primary)	1	1	0	True	PA House District 81	Democratic Party
PA House District 82 (Democratic Party Primary)	1	1	0	True	PA House District 82	Democratic Party
PA House District 83 (Democratic Party Primary)	1	1	0	True	PA House District 83	Democratic Party
PA House District 84 (Democratic Party Primary)	1	1	0	True	PA House District 84	Democratic Party
PA House District 85 (Democratic Party Primary)	1	1	0	True	PA House District 85	Democratic Party
PA House District 86 (Democratic Party Primary)	1	1	0	True	PA House District 86	Democratic Party
PA House District 87 (Democratic Party Primary)	1	1	0	True	PA House District 87	Democratic Party
PA House District 88 (Democratic Party Primary)	1	1	0	True	PA House District 88	Democratic Party
PA House District 89 (Democratic Party Primary)	1	1	0	True	PA House District 89	Democratic Party
PA House District 90 (Democratic Party Primary)	1	1	0	True	PA House District 90	Democratic Party
PA House District 91 (Democratic Party Primary)	1	1	0	True	PA House District 91	Democratic Party
PA House District 92 (Democratic Party Primary)	1	1	0	True	PA House District 92	Democratic Party
PA House District 93 (Democratic Party Primary)	1	1	0	True	PA House District 93	Democratic Party
PA House District 94 (Democratic Party Primary)	1	1	0	True	PA House District 94	Democratic Party
PA House District 95 (Democratic Party Primary)	1	1	0	True	PA House District 95	Democratic Party
PA House District 96 (Democratic Party Primary)	1	1	0	True	PA House District 96	Democratic Party
PA House District 97 (Democratic Party Primary)	1	1	0	True	PA House District 97	Democratic Party
PA House District 98 (Democratic Party Primary)	1	1	0	True	PA House District 98	Democratic Party
PA House District 99 (Democratic Party Primary)	1	1	0	True	PA House District 99	Democratic Party
PA House District 100 (Democratic Party Primary)	1	1	0	True	PA House District 100	Democratic Party
PA House District 101 (Democratic Party Primary)	1	1	0	True	PA House District 101	Democratic Party
PA House District 102 (Democratic Party Primary)	1	1	0	True	PA House District 102	Democratic Party
PA House District 103 (Democratic Party Primary)	1	1	0	True	PA House District 103	Democratic Party
PA House District 104 (Democratic Party Primary)	1	1	0	True	PA House District 104	Democratic Party
PA House District 105 (Democratic Party Primary)	1	1	0	True	PA House District 105	Democratic Party
PA House District 106 (Democratic Party Primary)	1	1	0	True	PA House District 106	Democratic Party
PA House District 107 (Democratic Party Primary)	1	1	0	True	PA House District 107	Democratic Party
PA House District 108 (Democratic Party Primary)	1	1	0	True	PA House District 108	Democratic Party
PA House District 109 (Democratic Party Primary)	1	1	0	True	PA House District 109	Democratic Party
PA House District 110 (Democratic Party Primary)	1	1	0	True	PA House District 110	Democratic Party
PA House District 111 (Democratic Party Primary)	1	1	0	True	PA House District 111	Democratic Party
PA House District 112 (Democratic Party Primary)	1	1	0	True	PA House District 112	Democratic Party
PA House District 113 (Democratic Party Primary)	1	1	0	True	PA House District 113	Democratic Party
PA House District 114 (Democratic Party Primary)	1	1	0	True	PA House District 114	Democratic Party
PA House District 115 (Democratic Party Primary)	1	1	0	True	PA House District 115	Democratic Party
PA House District 116 (Democratic Party Primary)	1	1	0	True	PA House District 116	Democratic Party
PA House District 117 (Democratic Party Primary)	1	1	0	True	PA House District 117	Democratic Party
PA House District 118 (Democratic Party Primary)	1	1	0	True	PA House District 118	Democratic Party
PA House District 119 (Democratic Party Primary)	1	1	0	True	PA House District 119	Democratic Party
PA House District 120 (Democratic Party Primary)	1	1	0	True	PA House District 120	Democratic Party
PA House District 121 (Democratic Party Primary)	1	1	0	True	PA House District 121	Democratic Party
PA House District 122 (Democratic Party Primary)	1	1	0	True	PA House District 122	Democratic Party
PA House District 123 (Democratic Party Primary)	1	1	0	True	PA House District 123	Democratic Party
PA House District 124 (Democratic Party Primary)	1	1	0	True	PA House District 124	Democratic Party
PA House District 125 (Democratic Party Primary)	1	1	0	True	PA House District 125	Democratic Party
PA House District 126 (Democratic Party Primary)	1	1	0	True	PA House District 126	Democratic Party
PA House District 127 (Democratic Party Primary)	1	1	0	True	PA House District 127	Democratic Party
PA House District 128 (Democratic Party Primary)	1	1	0	True	PA House District 128	Democratic Party
PA House District 129 (Democratic Party Primary)	1	1	0	True	PA House District 129	Democratic Party
PA House District 130 (Democratic Party Primary)	1	1	0	True	PA House District 130	Democratic Party
PA House District 131 (Democratic Party Primary)	1	1	0	True	PA House District 131	Democratic Party
PA House District 132 (Democratic Party Primary)	1	1	0	True	PA House District 132	Democratic Party
PA House District 133 (Democratic Party Primary)	1	1	0	True	PA House District 133	Democratic Party
PA House District 134 (Democratic Party Primary)	1	1	0	True	PA House District 134	Democratic Party
PA House District 135 (Democratic Party Primary)	1	1	0	True	PA House District 135	Democratic Party
PA House District 136 (Democratic Party Primary)	1	1	0	True	PA House District 136	Democratic Party
PA House District 137 (Democratic Party Primary)	1	1	0	True	PA House District 137	Democratic Party
PA House District 138 (Democratic Party Primary)	1	1	0	True	PA House District 138	Democratic Party
PA House District 139 (Democratic Party Primary)	1	1	0	True	PA House District 139	Democratic Party
PA House District 140 (Democratic Party Primary)	1	1	0	True	PA House District 140	Democratic Party
PA House District 141 (Democratic Party Primary)	1	1	0	True	PA House District 141	Democratic Party
PA House District 142 (Democratic Party Primary)	1	1	0	True	PA House District 142	Democratic Party
PA House District 143 (Democratic Party Primary)	1	1	0	True	PA House District 143	Democratic Party
PA House District 144 (Democratic Party Primary)	1	1	0	True	PA House District 144	Democratic Party
PA House District 145 (Democratic Party Primary)	1	1	0	True	PA House District 145	Democratic Party
PA House District 146 (Democratic Party Primary)	1	1	0	True	PA House District 146	Democratic Party
PA House District 147 (Democratic Party Primary)	1	1	0	True	PA House District 147	Democratic Party
PA House District 148 (Democratic Party Primary)	1	1	0	True	PA House District 148	Democratic Party
PA House District 149 (Democratic Party Primary)	1	1	0	True	PA House District 149	Democratic Party
PA House District 150 (Democratic Party Primary)	1	1	0	True	PA House District 150	Democratic Party
PA House District 151 (Democratic Party Primary)	1	1	0	True	PA House District 151	Democratic Party
PA House District 152 (Democratic Party Primary)	1	1	0	True	PA House District 152	Democratic Party
PA House District 153 (Democratic Party Primary)	1	1	0	True	PA House District 153	Democratic Party
PA House District 154 (Democratic Party Primary)	1	1	0	True	PA House District 154	Democratic Party
PA House District 155 (Democratic Party Primary)	1	1	0	True	PA House District 155	Democratic Party
PA House District 156 (Democratic Party Primary)	1	1	0	True	PA House District 156	Democratic Party
PA House District 157 (Democratic Party Primary)	1	1	0	True	PA House District 157	Democratic Party
PA House District 158 (Democratic Party Primary)	1	1	0	True	PA House District 158	Democratic Party
PA House District 159 (Democratic Party Primary)	1	1	0	True	PA House District 159	Democratic Party
PA House District 160 (Democratic Party Primary)	1	1	0	True	PA House District 160	Democratic Party
PA House District 161 (Democratic Party Primary)	1	1	0	True	PA House District 161	Democratic Party
PA House District 162 (Democratic Party Primary)	1	1	0	True	PA House District 162	Democratic Party
PA House District 163 (Democratic Party Primary)	1	1	0	True	PA House District 163	Democratic Party
PA House District 164 (Democratic Party Primary)	1	1	0	True	PA House District 164	Democratic Party
PA House District 165 (Democratic Party Primary)	1	1	0	True	PA House District 165	Democratic Party
PA House District 166 (Democratic Party Primary)	1	1	0	True	PA House District 166	Democratic Party
PA House District 167 (Democratic Party Primary)	1	1	0	True	PA House District 167	Democratic Party
PA House District 168 (Democratic Party Primary)	1	1	0	True	PA House District 168	Democratic Party
PA House District 169 (Democratic Party Primary)	1	1	0	True	PA House District 169	Democratic Party
PA House District 170 (Democratic Party Primary)	1	1	0	True	PA House District 170	Democratic Party
PA House District 171 (Democratic Party Primary)	1	1	0	True	PA House District 171	Democratic Party
PA House District 172 (Democratic Party Primary)	1	1	0	True	PA House District 172	Democratic Party
PA House District 173 (Democratic Party Primary)	1	1	0	True	PA House District 173	Democratic Party
PA House District 174 (Democratic Party Primary)	1	1	0	True	PA House District 174	Democratic Party
PA House District 175 (Democratic Party Primary)	1	1	0	True	PA House District 175	Democratic Party
PA House District 176 (Democratic Party Primary)	1	1	0	True	PA House District 176	Democratic Party
PA House District 177 (Democratic Party Primary)	1	1	0	True	PA House District 177	Democratic Party
