BallotName	Party	
Michael K. Lands	REP	North Carolina Republican Party
"Ali Paksoy, Jr."	DEM	North Carolina Democratic Party
Micah J. Sanderson	REP	North Carolina Republican Party
Ward D. Scott	DEM	North Carolina Democratic Party
Julie M. Kepple	DEM	North Carolina Democratic Party
Patricia Kaufmann Young	DEM	North Carolina Democratic Party
Susan (Smitty) Dotson-Smith	DEM	North Carolina Democratic Party
Ed Clontz	DEM	North Carolina Democratic Party
Robert K. Martelle	REP	North Carolina Republican Party
Corey J. MacKinnon	REP	North Carolina Republican Party
Randy Pool	REP	North Carolina Republican Party
Laura Anne Powell	REP	North Carolina Republican Party
Donna Forga	REP	North Carolina Republican Party
Kristina L. Earwood	REP	North Carolina Republican Party
Leo J. Phillips	REP	North Carolina Republican Party
Roy Wijewickrama	DEM	North Carolina Democratic Party
Edward C. Goodwin	REP	North Carolina Republican Party
Ronald (Ron) Wesson	DEM	North Carolina Democratic Party
Darryl D. Moss	DEM	North Carolina Democratic Party
Larry Yarborough	REP	North Carolina Republican Party
Barbara Lee	DEM	North Carolina Democratic Party
Michael Speciale	REP	North Carolina Republican Party
T. Lee Horne III	LIB	North Carolina Libertarian Party
Da'Quan Marcell Love	DEM	North Carolina Democratic Party
Jimmy Dixon	REP	North Carolina Republican Party
Kevin E. Hayes	CST	North Carolina Constitution Party
Howard J. Hunter III	DEM	North Carolina Democratic Party
Phillip Smith	REP	North Carolina Republican Party
Bobby Hanig	REP	North Carolina Republican Party
Tess Judge	DEM	North Carolina Democratic Party
Bobbie Richardson	DEM	North Carolina Democratic Party
Lisa Stone Barnes	REP	North Carolina Republican Party
Brenda Letchworth Smith	REP	North Carolina Republican Party
Kandie D. Smith	DEM	North Carolina Democratic Party
Greg Murphy	REP	North Carolina Republican Party
Kris Rixon	DEM	North Carolina Democratic Party
John Bell	REP	North Carolina Republican Party
Tracy Blackmon	DEM	North Carolina Democratic Party
Allison Dahle	DEM	North Carolina Democratic Party
Travis Groo	LIB	North Carolina Libertarian Party
Tyler Brooks	REP	North Carolina Republican Party
Chris Humphrey	REP	North Carolina Republican Party
George Graham	DEM	North Carolina Democratic Party
Patricia (Pat) McElraft	REP	North Carolina Republican Party
Pene diMaio	UNA	North Carolina Unaffiliated Voter
George G. Cleveland	REP	North Carolina Republican Party
Isaiah (Ike) Johnson	DEM	North Carolina Democratic Party
Dan Whitten	DEM	North Carolina Democratic Party
Phillip Shepard	REP	North Carolina Republican Party
Carson Smith	REP	North Carolina Republican Party
John Johnson	DEM	North Carolina Democratic Party
Frank Iler	REP	North Carolina Republican Party
Tom Simmons	DEM	North Carolina Democratic Party
Deb Butler	DEM	North Carolina Democratic Party
Joseph D. Sharp	LIB	North Carolina Libertarian Party
Louis Harmati	REP	North Carolina Republican Party
David Perry	LIB	North Carolina Libertarian Party
Marcia Morgan	DEM	North Carolina Democratic Party
"Ted Davis, Jr."	REP	North Carolina Republican Party
Holly Grange	REP	North Carolina Republican Party
Leslie Cohen	DEM	North Carolina Democratic Party
Raymond Smith	DEM	North Carolina Democratic Party
Robert E. Freeman	REP	North Carolina Republican Party
Martin (Tony) Denning	DEM	North Carolina Democratic Party
William Brisson	REP	North Carolina Republican Party
Claiborne Holtzman	REP	North Carolina Republican Party
Shelly Willingham	DEM	North Carolina Democratic Party
Jean Farmer Butterfield	DEM	North Carolina Democratic Party
Ken Fontenot	UNA	North Carolina Unaffiliated Voter
James D. Gailliard	DEM	North Carolina Democratic Party
John M. Check	REP	North Carolina Republican Party
Nick Taylor	LIB	North Carolina Libertarian Party
Donna McDowell White	REP	North Carolina Republican Party
Linda Bennett	DEM	North Carolina Democratic Party
Michael H. Wray	DEM	North Carolina Democratic Party
Raymond (Ray) Dyer	REP	North Carolina Republican Party
Jimmie M. Massengill	DEM	North Carolina Democratic Party
Larry C. Strickland	REP	North Carolina Republican Party
Walt Rabon	LIB	North Carolina Libertarian Party
Charles Becker	REP	North Carolina Republican Party
MaryAnn E. Black	DEM	North Carolina Democratic Party
"B. Angelo Burch, Sr."	REP	North Carolina Republican Party
Marcia Morey	DEM	North Carolina Democratic Party
Matthew Wagoner	LIB	North Carolina Libertarian Party
Erik Raudsep	LIB	North Carolina Libertarian Party
Torian Webson	REP	North Carolina Republican Party
Zack Forde-Hawkins	DEM	North Carolina Democratic Party
Robert Shingler	REP	North Carolina Republican Party
Terry Garrison	DEM	North Carolina Democratic Party
Anne Murtha	REP	North Carolina Republican Party
Rosa U. Gill	DEM	North Carolina Democratic Party
Cap Hayes	LIB	North Carolina Libertarian Party
Catherine Whiteford	REP	North Carolina Republican Party
Grier Martin	DEM	North Carolina Democratic Party
Michael Nelson	LIB	North Carolina Libertarian Party
Terence Everitt	DEM	North Carolina Democratic Party
Chris Malone	REP	North Carolina Republican Party
Julie von Haefen	DEM	North Carolina Democratic Party
Nelson Dollar	REP	North Carolina Republican Party
Robyn Haley Pegram	LIB	North Carolina Libertarian Party
Guy Meilleur	LIB	North Carolina Libertarian Party
John B. Adcock	REP	North Carolina Republican Party
Mrs. Sydney Batch	DEM	North Carolina Democratic Party
Ken Bagnal	REP	North Carolina Republican Party
Yvonne Lewis Holley	DEM	North Carolina Democratic Party
Bobby Yates Emory	LIB	North Carolina Libertarian Party
Darren Jackson	DEM	North Carolina Democratic Party
Martin Matuszewski	LIB	North Carolina Libertarian Party
Rhonda Allen	REP	North Carolina Republican Party
David Ulmer	LIB	North Carolina Libertarian Party
Joe John	DEM	North Carolina Democratic Party
Marilyn Avila	REP	North Carolina Republican Party
Emmanuel Wilder	REP	North Carolina Republican Party
Gale Adcock	DEM	North Carolina Democratic Party
Ed Williams	REP	North Carolina Republican Party
Mark A. Crowe	CST	North Carolina Constitution Party
Marvin W. Lucas	DEM	North Carolina Democratic Party
Elmer Floyd	DEM	North Carolina Democratic Party
John Czajkowski	REP	North Carolina Republican Party
Billy Richardson	DEM	North Carolina Democratic Party
Linda Devore	REP	North Carolina Republican Party
Albeiro (Al) Florez	DEM	North Carolina Democratic Party
John Szoka	REP	North Carolina Republican Party
Barbara S. Yates-Lockamy	DEM	North Carolina Democratic Party
Brenden H. Jones	REP	North Carolina Republican Party
Jarrod Lowery	REP	North Carolina Republican Party
Charles Graham	DEM	North Carolina Democratic Party
Garland E. Pierce	DEM	North Carolina Democratic Party
Russell Walker	REP	North Carolina Republican Party
Cynthia Ball	DEM	North Carolina Democratic Party
David Robertson	REP	North Carolina Republican Party
Jonathan Horst	LIB	North Carolina Libertarian Party
Graig R. Meyer	DEM	North Carolina Democratic Party
Kenneth Price Rothrock	REP	North Carolina Republican Party
John Sauls	REP	North Carolina Republican Party
Lisa D. Mathis	DEM	North Carolina Democratic Party
Jamie Boles	REP	North Carolina Republican Party
Lowell Simon	DEM	North Carolina Democratic Party
David Lewis	REP	North Carolina Republican Party
Richard Chapman	DEM	North Carolina Democratic Party
Jay Stobbs	REP	North Carolina Republican Party
Robert T. Reives II	DEM	North Carolina Democratic Party
Frank Deese	DEM	North Carolina Democratic Party
Mark Brody	REP	North Carolina Republican Party
Marcus Cooke	REP	North Carolina Republican Party
Matthew P. Clements	LIB	North Carolina Libertarian Party
Verla C. Insko	DEM	North Carolina Democratic Party
Ashton Clemmons	DEM	North Carolina Democratic Party
Troy Lawson	REP	North Carolina Republican Party
Amos Quick	DEM	North Carolina Democratic Party
Peter Boykin	REP	North Carolina Republican Party
Steven A. Buccini	DEM	North Carolina Democratic Party
Jon Hardister	REP	North Carolina Republican Party
Cecil Brockman	DEM	North Carolina Democratic Party
Kurt Collins	REP	North Carolina Republican Party
Alissa Batts	REP	North Carolina Republican Party
Mary Price (Pricey) Harrison	DEM	North Carolina Democratic Party
John Faircloth	REP	North Carolina Republican Party
Martha R. Shafer	DEM	North Carolina Democratic Party
Erica McAdoo	DEM	North Carolina Democratic Party
Stephen Ross	REP	North Carolina Republican Party
Dennis Riddell	REP	North Carolina Republican Party
Elliott Lynch	DEM	North Carolina Democratic Party
Houston Barrow	LIB	North Carolina Libertarian Party
Jerry Carter	REP	North Carolina Republican Party
Michael H. (Mike) Lee	DEM	North Carolina Democratic Party
Joey Davis	REP	North Carolina Republican Party
Justin Miller	GRE	North Carolina Green Party
Ken Goodman	DEM	North Carolina Democratic Party
Karen Webster	DEM	North Carolina Democratic Party
Michael Finn	LIB	North Carolina Libertarian Party
Wayne Sasser	REP	North Carolina Republican Party
Craig Horn	REP	North Carolina Republican Party
Rick Foulke	DEM	North Carolina Democratic Party
Dean Arp	REP	North Carolina Republican Party
Jennifer Benson	DEM	North Carolina Democratic Party
Mary Rulli	DEM	North Carolina Democratic Party
Pat B. Hurley	REP	North Carolina Republican Party
Scott Arnold	REP	North Carolina Republican Party
Evelyn Terry	DEM	North Carolina Democratic Party
Derwin L. Montgomery	DEM	North Carolina Democratic Party
Reginald Reid	REP	North Carolina Republican Party
Lee Zachary	REP	North Carolina Republican Party
William Stinson	DEM	North Carolina Democratic Party
Debra Conrad	REP	North Carolina Republican Party
Terri Elizabeth LeGrand	DEM	North Carolina Democratic Party
Dan Besse	DEM	North Carolina Democratic Party
Donny C. Lambeth	REP	North Carolina Republican Party
Harry Warren	REP	North Carolina Republican Party
Joe Fowler	DEM	North Carolina Democratic Party
Bonnie Dawn Clark	DEM	North Carolina Democratic Party
Julia Craven Howard	REP	North Carolina Republican Party
Allen Ray McNeill	REP	North Carolina Republican Party
Jim Meredith	DEM	North Carolina Democratic Party
Jerry E. Langley	DEM	North Carolina Democratic Party
Keith Kidwell	REP	North Carolina Republican Party
Steve Jarvis	REP	North Carolina Republican Party
Wendy B. Sellars	DEM	North Carolina Democratic Party
Larry W. Potts	REP	North Carolina Republican Party
Lewie Phillips	DEM	North Carolina Democratic Party
Aimy Steele	DEM	North Carolina Democratic Party
Linda P. Johnson	REP	North Carolina Republican Party
Gail Young	DEM	North Carolina Democratic Party
Larry G. Pittman	REP	North Carolina Republican Party
Allen R. Edwards	DEM	North Carolina Democratic Party
Rena W. Turner	REP	North Carolina Republican Party
Howard Larsen	DEM	North Carolina Democratic Party
Josh Dobson	REP	North Carolina Republican Party
Hugh Blackwell	REP	North Carolina Republican Party
Tim Barnsback	DEM	North Carolina Democratic Party
Amanda Bregel	DEM	North Carolina Democratic Party
Destin Hall	REP	North Carolina Republican Party
Mary G. Belk	DEM	North Carolina Democratic Party
Ty Turner	REP	North Carolina Republican Party
Greg Cranford	DEM	North Carolina Democratic Party
Mitchell Smith Setzer	REP	North Carolina Republican Party
Allen Poindexter	CST	North Carolina Constitution Party
John Worth Wiles	DEM	North Carolina Democratic Party
Sarah Stevens	REP	North Carolina Republican Party
Kyle Hall	REP	North Carolina Republican Party
Michael Booth	DEM	North Carolina Democratic Party
Steve Brenneis	LIB	North Carolina Libertarian Party
Chaz Beasley	DEM	North Carolina Democratic Party
Debbie Ware	REP	North Carolina Republican Party
Jonathan C. Jordan	REP	North Carolina Republican Party
Ray Russell	DEM	North Carolina Democratic Party
Dianne Little	DEM	North Carolina Democratic Party
Jeffrey Elmore	REP	North Carolina Republican Party
Carla Fassbender	DEM	North Carolina Democratic Party
John A. Fraley	REP	North Carolina Republican Party
Jay Adams	REP	North Carolina Republican Party
Kim Bost	DEM	North Carolina Democratic Party
Jason R. Saine	REP	North Carolina Republican Party
Natalie Robertson	DEM	North Carolina Democratic Party
Christy Clark	DEM	North Carolina Democratic Party
John R. Bradford III	REP	North Carolina Republican Party
Joshua Niday	REP	North Carolina Republican Party
Nasif Majeed	DEM	North Carolina Democratic Party
John Autry	DEM	North Carolina Democratic Party
Nancy Campbell	REP	North Carolina Republican Party
Carolyn Logan	DEM	North Carolina Democratic Party
Steve Mauney	REP	North Carolina Republican Party
Becky Carney	DEM	North Carolina Democratic Party
Tyler Norris	REP	North Carolina Republican Party
Bill Brawley	REP	North Carolina Republican Party
Rachel Hunt	DEM	North Carolina Democratic Party
Andy Dulin	REP	North Carolina Republican Party
Brandon Lofton	DEM	North Carolina Democratic Party
Scott Stone	REP	North Carolina Republican Party
Wesley Harris	DEM	North Carolina Democratic Party
Carla Cunningham	DEM	North Carolina Democratic Party
Geovani Opry Sherow	REP	North Carolina Republican Party
Kelly Alexander	DEM	North Carolina Democratic Party
John A. Torbett	REP	North Carolina Republican Party
Robert Kellogg	DEM	North Carolina Democratic Party
Dana Bumgardner	REP	North Carolina Republican Party
Jennie Stultz (Write-In)		North Carolina Constitution Party
Susan Maxon	DEM	North Carolina Democratic Party
Write-In (Miscellaneous)		North Carolina Constitution Party
Christy McCleary	DEM	North Carolina Democratic Party
Kelly E. Hastings	REP	North Carolina Republican Party
David C. Brinkley	DEM	North Carolina Democratic Party
Tim Moore	REP	North Carolina Republican Party
David Rogers	REP	North Carolina Republican Party
Gregory James Gallagher	DEM	North Carolina Democratic Party
Cody Henson	REP	North Carolina Republican Party
Sam Edney	DEM	North Carolina Democratic Party
Kris A. Lindstam	REP	North Carolina Republican Party
Susan C. Fisher	DEM	North Carolina Democratic Party
Amy Evans	REP	North Carolina Republican Party
John Ager	DEM	North Carolina Democratic Party
Brian Turner	DEM	North Carolina Democratic Party
Marilyn A. Brown	REP	North Carolina Republican Party
Chuck McGrady	REP	North Carolina Republican Party
Gayle Kemp	DEM	North Carolina Democratic Party
Michele D. Presnell	REP	North Carolina Republican Party
Rhonda Cole Schandevel	DEM	North Carolina Democratic Party
Joe Sam Queen	DEM	North Carolina Democratic Party
Mike Clampitt	REP	North Carolina Republican Party
Aaron Martin	DEM	North Carolina Democratic Party
Kevin Corbin	REP	North Carolina Republican Party
Bob Steinburg	REP	North Carolina Republican Party
D. Cole Phelps	DEM	North Carolina Democratic Party
Ginger Garner	DEM	North Carolina Democratic Party
Norman Sanderson	REP	North Carolina Republican Party
Tim Harris	LIB	North Carolina Libertarian Party
"C. (Chuck) Earley, Jr."	REP	North Carolina Republican Party
Erica D. Smith	DEM	North Carolina Democratic Party
Jesse Shearin	LIB	North Carolina Libertarian Party
"Milton F. (Toby) Fitch, Jr."	DEM	North Carolina Democratic Party
Richard Scott	REP	North Carolina Republican Party
Don Davis	DEM	North Carolina Democratic Party
Kimberly Robb	REP	North Carolina Republican Party
Harry Brown	REP	North Carolina Republican Party
Joseph (Joe) Webb	DEM	North Carolina Democratic Party
David B. Brantley	DEM	North Carolina Democratic Party
"Louis Milford Pate, Jr."	REP	North Carolina Republican Party
Anthony H. Mascolo	LIB	North Carolina Libertarian Party
Bill Rabon	REP	North Carolina Republican Party
"David W. Sink, Jr."	DEM	North Carolina Democratic Party
Michael Lee	REP	North Carolina Republican Party
Ethan Bickley	LIB	North Carolina Libertarian Party
Harper Peterson	DEM	North Carolina Democratic Party
Brent Jackson	REP	North Carolina Republican Party
Vernon R. Moore	DEM	North Carolina Democratic Party
Albert R. Pacer	DEM	North Carolina Democratic Party
Rick Horner	REP	North Carolina Republican Party
Jean Sivoli	DEM	North Carolina Democratic Party
Jim Burgin	REP	North Carolina Republican Party
"Danny Earl Britt, Jr."	REP	North Carolina Republican Party
John Campbell	DEM	North Carolina Democratic Party
Dan Blue	DEM	North Carolina Democratic Party
Richard Haygood	LIB	North Carolina Libertarian Party
Sandy Andrews	REP	North Carolina Republican Party
Jay J. Chaudhuri	DEM	North Carolina Democratic Party
Alan David Michael	REP	North Carolina Republican Party
Brian Lewis	LIB	North Carolina Libertarian Party
Brian Irving	LIB	North Carolina Libertarian Party
Paul Smith	REP	North Carolina Republican Party
Wiley Nickel	DEM	North Carolina Democratic Party
Tamara Barringer	REP	North Carolina Republican Party
Bruce Basson	LIB	North Carolina Libertarian Party
Sam Searcy	DEM	North Carolina Democratic Party
Brad Hessel	LIB	North Carolina Libertarian Party
John Alexander	REP	North Carolina Republican Party
Mack Paul	DEM	North Carolina Democratic Party
Kirk DeViere	DEM	North Carolina Democratic Party
Wesley Meredith	REP	North Carolina Republican Party
"Floyd B. McKissick, Jr."	DEM	North Carolina Democratic Party
Jared Erickson	LIB	North Carolina Libertarian Party
Tom Stark	REP	North Carolina Republican Party
Ben Clark	DEM	North Carolina Democratic Party
Timothy Leever	REP	North Carolina Republican Party
Mike Woodard	DEM	North Carolina Democratic Party
Ray Ubinger	LIB	North Carolina Libertarian Party
Rickey (Rick) Padgett	REP	North Carolina Republican Party
Tom Glendinning	REP	North Carolina Republican Party
Valerie P. Foushee	DEM	North Carolina Democratic Party
J. D. Wooten	DEM	North Carolina Democratic Party
Rick Gunn	REP	North Carolina Republican Party
Helen Probst Mills	DEM	North Carolina Democratic Party
Tom McInnis	REP	North Carolina Republican Party
Jerry W. Tillman	REP	North Carolina Republican Party
William (Bill) McCaskill	DEM	North Carolina Democratic Party
Michael Garrett	DEM	North Carolina Democratic Party
Trudy Wade	REP	North Carolina Republican Party
Clark Porter	REP	North Carolina Republican Party
Gladys Robinson	DEM	North Carolina Democratic Party
Cheraton Love	DEM	North Carolina Democratic Party
Eddie Gallimore	REP	North Carolina Republican Party
Jen Mangrum	DEM	North Carolina Democratic Party
Philip E. (Phil) Berger	REP	North Carolina Republican Party
R. Michael Jordan	LIB	North Carolina Libertarian Party
"John Motsinger, Jr."	DEM	North Carolina Democratic Party
Joyce Krawiec	REP	North Carolina Republican Party
Eric Henderson	REP	North Carolina Republican Party
"Paul Lowe, Jr."	DEM	North Carolina Democratic Party
Carl Ford	REP	North Carolina Republican Party
Arin Wilhelm	DEM	North Carolina Democratic Party
Beniah McMiller	DEM	North Carolina Democratic Party
Vickie Sawyer	REP	North Carolina Republican Party
Caroline L. Walker	DEM	North Carolina Democratic Party
Todd Johnson	REP	North Carolina Republican Party
Mark E. Shelley	DEM	North Carolina Democratic Party
Paul R. Newton	REP	North Carolina Republican Party
Jeff Jackson	DEM	North Carolina Democratic Party
Nora Trotman	REP	North Carolina Republican Party
Stuart Andrew Collins	CST	North Carolina Constitution Party
Mujtaba A. Mohammed	DEM	North Carolina Democratic Party
Richard Rivette	REP	North Carolina Republican Party
Dan Bishop	REP	North Carolina Republican Party
Chad Stachowicz	DEM	North Carolina Democratic Party
Joyce Waddell	DEM	North Carolina Democratic Party
Mr. Bobbie Shields	REP	North Carolina Republican Party
Jeff Tarte	REP	North Carolina Republican Party
Natasha Marcus	DEM	North Carolina Democratic Party
Andy Wells	REP	North Carolina Republican Party
Ric Vandett	DEM	North Carolina Democratic Party
Altriese Price	DEM	North Carolina Democratic Party
Kathy Harrington	REP	North Carolina Republican Party
Mitchell D. Bridges	LIB	North Carolina Libertarian Party
David Lee Lattimore	DEM	North Carolina Democratic Party
Ted Alexander	REP	North Carolina Republican Party
Deanna Ballard	REP	North Carolina Republican Party
Wes Luther	DEM	North Carolina Democratic Party
Warren Daniel	REP	North Carolina Republican Party
Art Sherwood	DEM	North Carolina Democratic Party
David Wheeler	DEM	North Carolina Democratic Party
Ralph Hise	REP	North Carolina Republican Party
Chuck Edwards	REP	North Carolina Republican Party
Norm Bossert	DEM	North Carolina Democratic Party
Terry Van Duyn	DEM	North Carolina Democratic Party
Lyndon John Smith	LIB	North Carolina Libertarian Party
Mark Crawford	REP	North Carolina Republican Party
Bobby Kuppers	DEM	North Carolina Democratic Party
Jim Davis	REP	North Carolina Republican Party
J. C. Cole	DEM	North Carolina Democratic Party
Jerry R. Tillett	REP	North Carolina Republican Party
"Wayland J. Sermons, Jr."	DEM	North Carolina Democratic Party
Paul M. Quinn	REP	North Carolina Republican Party
John Nobles	REP	North Carolina Republican Party
"Albert D. Kirby, Jr."	DEM	North Carolina Democratic Party
Henry L. Stevens IV	REP	North Carolina Republican Party
G. Frank Jones	REP	North Carolina Republican Party
Tripp Watson	REP	North Carolina Republican Party
Quentin T. Sumner	DEM	North Carolina Democratic Party
Lamont Wiggins	DEM	North Carolina Democratic Party
"Walter H. Godwin, Jr."	DEM	North Carolina Democratic Party
John Dunlow	REP	North Carolina Republican Party
Lawrence Tickle	DEM	North Carolina Democratic Party
Paul Ross	DEM	North Carolina Democratic Party
Steven E. Hight	DEM	North Carolina Democratic Party
Carolyn J. Thompson	DEM	North Carolina Democratic Party
Cindy Sturges	REP	North Carolina Republican Party
Mitchell Styers	DEM	North Carolina Democratic Party
