Name	ElectionDistrict	VotesAllowed	NumberElected	NumberRunoff	IsPartisan
Maryland; State Senate District 38	Maryland; State Senate District 38	1	1	0	TRUE
Maryland; State Senate District 39	Maryland; State Senate District 39	1	1	0	TRUE
Maryland; State Senate District 4	Maryland; State Senate District 4	1	1	0	TRUE
Maryland; State Senate District 40	Maryland; State Senate District 40	1	1	0	TRUE
Maryland; State Senate District 41	Maryland; State Senate District 41	1	1	0	TRUE
Maryland; State Senate District 42	Maryland; State Senate District 42	1	1	0	TRUE
Maryland; State Senate District 43	Maryland; State Senate District 43	1	1	0	TRUE
Maryland; State Senate District 44	Maryland; State Senate District 44	1	1	0	TRUE
Maryland; State Senate District 45	Maryland; State Senate District 45	1	1	0	TRUE
Maryland; State Senate District 46	Maryland; State Senate District 46	1	1	0	TRUE
Maryland; State Senate District 47	Maryland; State Senate District 47	1	1	0	TRUE
Maryland; State Senate District 5	Maryland; State Senate District 5	1	1	0	TRUE
Maryland; State Senate District 6	Maryland; State Senate District 6	1	1	0	TRUE
Maryland; State Senate District 7	Maryland; State Senate District 7	1	1	0	TRUE
Maryland; State Senate District 8	Maryland; State Senate District 8	1	1	0	TRUE
Maryland; State Senate District 9	Maryland; State Senate District 9	1	1	0	TRUE
Maryland;House of Delegates District 10	Maryland;House of Delegates District 10	1	1	0	TRUE
Maryland;House of Delegates District 11	Maryland;House of Delegates District 11	1	1	0	TRUE
Maryland;House of Delegates District 12	Maryland;House of Delegates District 12	1	1	0	TRUE
Maryland;House of Delegates District 13	Maryland;House of Delegates District 13	1	1	0	TRUE
Maryland;House of Delegates District 14	Maryland;House of Delegates District 14	1	1	0	TRUE
Maryland;House of Delegates District 15	Maryland;House of Delegates District 15	1	1	0	TRUE
Maryland;House of Delegates District 16	Maryland;House of Delegates District 16	1	1	0	TRUE
Maryland;House of Delegates District 17	Maryland;House of Delegates District 17	1	1	0	TRUE
Maryland;House of Delegates District 18	Maryland;House of Delegates District 18	1	1	0	TRUE
Maryland;House of Delegates District 19	Maryland;House of Delegates District 19	1	1	0	TRUE
Maryland;House of Delegates District 1A	Maryland;House of Delegates District 1A	1	1	0	TRUE
Maryland;House of Delegates District 1B	Maryland;House of Delegates District 1B	1	1	0	TRUE
Maryland;House of Delegates District 1C	Maryland;House of Delegates District 1C	1	1	0	TRUE
Maryland;House of Delegates District 20	Maryland;House of Delegates District 20	1	1	0	TRUE
Maryland;House of Delegates District 21	Maryland;House of Delegates District 21	1	1	0	TRUE
Maryland;House of Delegates District 22	Maryland;House of Delegates District 22	1	1	0	TRUE
Maryland;House of Delegates District 23A	Maryland;House of Delegates District 23A	1	1	0	TRUE
Maryland;House of Delegates District 23B	Maryland;House of Delegates District 23B	1	1	0	TRUE
Maryland;House of Delegates District 24	Maryland;House of Delegates District 24	1	1	0	TRUE
Maryland;House of Delegates District 25	Maryland;House of Delegates District 25	1	1	0	TRUE
Maryland;House of Delegates District 26	Maryland;House of Delegates District 26	1	1	0	TRUE
Maryland;House of Delegates District 27A	Maryland;House of Delegates District 27A	1	1	0	TRUE
Maryland;House of Delegates District 27B	Maryland;House of Delegates District 27B	1	1	0	TRUE
Maryland;House of Delegates District 27C	Maryland;House of Delegates District 27C	1	1	0	TRUE
Maryland;House of Delegates District 28	Maryland;House of Delegates District 28	1	1	0	TRUE
Maryland;House of Delegates District 29A	Maryland;House of Delegates District 29A	1	1	0	TRUE
Maryland;House of Delegates District 29B	Maryland;House of Delegates District 29B	1	1	0	TRUE
Maryland;House of Delegates District 29C	Maryland;House of Delegates District 29C	1	1	0	TRUE
Maryland;House of Delegates District 2A	Maryland;House of Delegates District 2A	1	1	0	TRUE
Maryland;House of Delegates District 2B	Maryland;House of Delegates District 2B	1	1	0	TRUE
Maryland;House of Delegates District 30A	Maryland;House of Delegates District 30A	1	1	0	TRUE
Maryland;House of Delegates District 30B	Maryland;House of Delegates District 30B	1	1	0	TRUE
Maryland;House of Delegates District 32	Maryland;House of Delegates District 32	1	1	0	TRUE
Maryland;House of Delegates District 33	Maryland;House of Delegates District 33	1	1	0	TRUE
Maryland;House of Delegates District 34A	Maryland;House of Delegates District 34A	1	1	0	TRUE
Maryland;House of Delegates District 34B	Maryland;House of Delegates District 34B	1	1	0	TRUE
Maryland;House of Delegates District 35A	Maryland;House of Delegates District 35A	1	1	0	TRUE
Maryland;House of Delegates District 35B	Maryland;House of Delegates District 35B	1	1	0	TRUE
Maryland;House of Delegates District 36	Maryland;House of Delegates District 36	1	1	0	TRUE
Maryland;House of Delegates District 37	Maryland;House of Delegates District 37	1	1	0	TRUE
Maryland;House of Delegates District 37A	Maryland;House of Delegates District 37A	1	1	0	TRUE
Maryland;House of Delegates District 37B	Maryland;House of Delegates District 37B	1	1	0	TRUE
Maryland;House of Delegates District 38	Maryland;House of Delegates District 38	1	1	0	TRUE
Maryland;House of Delegates District 38A	Maryland;House of Delegates District 38A	1	1	0	TRUE
Maryland;House of Delegates District 38B	Maryland;House of Delegates District 38B	1	1	0	TRUE
Maryland;House of Delegates District 38c	Maryland;House of Delegates District 38c	1	1	0	TRUE
Maryland;House of Delegates District 39	Maryland;House of Delegates District 39	1	1	0	TRUE
Maryland;House of Delegates District 3A	Maryland;House of Delegates District 3A	1	1	0	TRUE
Maryland;House of Delegates District 3B	Maryland;House of Delegates District 3B	1	1	0	TRUE
Maryland;House of Delegates District 4	Maryland;House of Delegates District 4	1	1	0	TRUE
Maryland;House of Delegates District 40	Maryland;House of Delegates District 40	1	1	0	TRUE
Maryland;House of Delegates District 41	Maryland;House of Delegates District 41	1	1	0	TRUE
Maryland;House of Delegates District 42A	Maryland;House of Delegates District 42A	1	1	0	TRUE
Maryland;House of Delegates District 42B	Maryland;House of Delegates District 42B	1	1	0	TRUE
Maryland;House of Delegates District 43	Maryland;House of Delegates District 43	1	1	0	TRUE
Maryland;House of Delegates District 44A	Maryland;House of Delegates District 44A	1	1	0	TRUE
Maryland;House of Delegates District 44B	Maryland;House of Delegates District 44B	1	1	0	TRUE
Maryland;House of Delegates District 45	Maryland;House of Delegates District 45	1	1	0	TRUE
Maryland;House of Delegates District 46	Maryland;House of Delegates District 46	1	1	0	TRUE
Maryland;House of Delegates District 47A	Maryland;House of Delegates District 47A	1	1	0	TRUE
Maryland;House of Delegates District 47B	Maryland;House of Delegates District 47B	1	1	0	TRUE
Maryland;House of Delegates District 5	Maryland;House of Delegates District 5	1	1	0	TRUE
Maryland;House of Delegates District 6	Maryland;House of Delegates District 6	1	1	0	TRUE
Maryland;House of Delegates District 7	Maryland;House of Delegates District 7	1	1	0	TRUE
Maryland;House of Delegates District 8	Maryland;House of Delegates District 8	1	1	0	TRUE
Maryland;House of Delegates District 9A	Maryland;House of Delegates District 9A	1	1	0	TRUE
Maryland;House of Delegates District 9B	Maryland;House of Delegates District 9B	1	1	0	TRUE
Maryland;State Legislature Senate District 1	Maryland;State Legislature Senate District 1	1	1	0	TRUE
Maryland;State Legislature Senate District 10	Maryland;State Legislature Senate District 10	1	1	0	TRUE
Maryland;State Legislature Senate District 11	Maryland;State Legislature Senate District 11	1	1	0	TRUE
Maryland;State Legislature Senate District 12	Maryland;State Legislature Senate District 12	1	1	0	TRUE
Maryland;State Legislature Senate District 13	Maryland;State Legislature Senate District 13	1	1	0	TRUE
Maryland;State Legislature Senate District 14	Maryland;State Legislature Senate District 14	1	1	0	TRUE
Maryland;State Legislature Senate District 15	Maryland;State Legislature Senate District 15	1	1	0	TRUE
Maryland;State Legislature Senate District 16	Maryland;State Legislature Senate District 16	1	1	0	TRUE
Maryland;State Legislature Senate District 17	Maryland;State Legislature Senate District 17	1	1	0	TRUE
Maryland;State Legislature Senate District 18	Maryland;State Legislature Senate District 18	1	1	0	TRUE
Maryland;State Legislature Senate District 19	Maryland;State Legislature Senate District 19	1	1	0	TRUE
Maryland;State Legislature Senate District 2	Maryland;State Legislature Senate District 2	1	1	0	TRUE
Maryland;State Legislature Senate District 20	Maryland;State Legislature Senate District 20	1	1	0	TRUE
Maryland;State Legislature Senate District 21	Maryland;State Legislature Senate District 21	1	1	0	TRUE
Maryland;State Legislature Senate District 22	Maryland;State Legislature Senate District 22	1	1	0	TRUE
Maryland;State Legislature Senate District 23	Maryland;State Legislature Senate District 23	1	1	0	TRUE
Maryland;State Legislature Senate District 24	Maryland;State Legislature Senate District 24	1	1	0	TRUE
Maryland;State Legislature Senate District 25	Maryland;State Legislature Senate District 25	1	1	0	TRUE
Maryland;State Legislature Senate District 26	Maryland;State Legislature Senate District 26	1	1	0	TRUE
Maryland;State Legislature Senate District 27	Maryland;State Legislature Senate District 27	1	1	0	TRUE
Maryland;State Legislature Senate District 28	Maryland;State Legislature Senate District 28	1	1	0	TRUE
Maryland;State Legislature Senate District 29	Maryland;State Legislature Senate District 29	1	1	0	TRUE
Maryland;State Legislature Senate District 3	Maryland;State Legislature Senate District 3	1	1	0	TRUE
Maryland;State Legislature Senate District 30	Maryland;State Legislature Senate District 30	1	1	0	TRUE
Maryland;State Legislature Senate District 31	Maryland;State Legislature Senate District 31	1	1	0	TRUE
Maryland;State Legislature Senate District 32	Maryland;State Legislature Senate District 32	1	1	0	TRUE
Maryland;State Legislature Senate District 33	Maryland;State Legislature Senate District 33	1	1	0	TRUE
Maryland;State Legislature Senate District 34	Maryland;State Legislature Senate District 34	1	1	0	TRUE
Maryland;State Legislature Senate District 35	Maryland;State Legislature Senate District 35	1	1	0	TRUE
Maryland;State Legislature Senate District 36	Maryland;State Legislature Senate District 36	1	1	0	TRUE
Maryland;State Legislature Senate District 37	Maryland;State Legislature Senate District 37	1	1	0	TRUE
Maryland;State Legislature Senate District 38	Maryland;State Legislature Senate District 38	1	1	0	TRUE
Maryland;State Legislature Senate District 39	Maryland;State Legislature Senate District 39	1	1	0	TRUE
Maryland;State Legislature Senate District 4	Maryland;State Legislature Senate District 4	1	1	0	TRUE
Maryland;State Legislature Senate District 40	Maryland;State Legislature Senate District 40	1	1	0	TRUE
Maryland;State Legislature Senate District 41	Maryland;State Legislature Senate District 41	1	1	0	TRUE
Maryland;State Legislature Senate District 42	Maryland;State Legislature Senate District 42	1	1	0	TRUE
Maryland;State Legislature Senate District 43	Maryland;State Legislature Senate District 43	1	1	0	TRUE
Maryland;State Legislature Senate District 44	Maryland;State Legislature Senate District 44	1	1	0	TRUE
Maryland;State Legislature Senate District 45	Maryland;State Legislature Senate District 45	1	1	0	TRUE
Maryland;State Legislature Senate District 46	Maryland;State Legislature Senate District 46	1	1	0	TRUE
Maryland;State Legislature Senate District 47	Maryland;State Legislature Senate District 47	1	1	0	TRUE
Maryland;State Legislature Senate District 5	Maryland;State Legislature Senate District 5	1	1	0	TRUE
Maryland;State Legislature Senate District 6	Maryland;State Legislature Senate District 6	1	1	0	TRUE
Maryland;State Legislature Senate District 7	Maryland;State Legislature Senate District 7	1	1	0	TRUE
Maryland;State Legislature Senate District 8	Maryland;State Legislature Senate District 8	1	1	0	TRUE
Maryland;State Legislature Senate District 9	Maryland;State Legislature Senate District 9	1	1	0	TRUE
Maryland;US Congress House of Representatives District 1	Maryland;US Congress House of Representatives District 1	1	1	0	TRUE
Maryland;US Congress House of Representatives District 2	Maryland;US Congress House of Representatives District 2	1	1	0	TRUE
Maryland;US Congress House of Representatives District 3	Maryland;US Congress House of Representatives District 3	1	1	0	TRUE
Maryland;US Congress House of Representatives District 4	Maryland;US Congress House of Representatives District 4	1	1	0	TRUE
Maryland;US Congress House of Representatives District 5	Maryland;US Congress House of Representatives District 5	1	1	0	TRUE
Maryland;US Congress House of Representatives District 6	Maryland;US Congress House of Representatives District 6	1	1	0	TRUE
Maryland;US Congress House of Representatives District 7	Maryland;US Congress House of Representatives District 7	1	1	0	TRUE
Maryland;US Congress House of Representatives District 8	Maryland;US Congress House of Representatives District 8	1	1	0	TRUE
Maryland;Judge Court of Appeals District 3	Maryland;Judge Court of Appeals District 3	1	1	0	TRUE
